id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
492710,SZ399393,国证地产,3,0.0,0.9089,0.0,0.232,0.0,0.0111,1756310400000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377123763,1756377123763,True,5,0.768,1.0,08-28,
492682,SZ399812,养老产业,3,15.686,2.2411,0.08,0.254,0.1429,0.0218,1756310400000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377121788,1756377121788,False,5,0.746,0.92,08-28,2.2154
492689,CSIH11136,中国互联,3,18.0148,2.8891,0.0976,0.2972,0.1604,0.0102,1756310400000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377122293,1756377122293,False,5,0.7028,0.9024,08-28,
492677,SZ399997,中证白酒,3,19.0259,5.2378,0.0792,0.238,0.2753,0.0374,1756310400000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377121408,1756377121408,False,5,0.762,0.9208,08-28,2.7765
492695,SH000932,主要消费,3,19.5649,4.4182,0.0244,0.2564,0.2258,0.0328,1756310400000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377122705,1756377122705,False,5,0.7436,0.9756,08-28,1.9522
492719,CSIH30094,消费红利,2,19.6552,4.4976,0.0668,0.2792,0.2288,0.038,1756310400000,low,0,,0.05,1432224000000,1756377124396,1756377124396,False,5,0.7208,0.9332,08-28,2.2081
492681,SZ399396,国证食品,3,21.4377,4.5787,0.0752,0.1988,0.2136,0.0342,1756310400000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377121707,1756377121707,False,5,0.8012,0.9248,08-28,2.3006
492703,CSIH30533,中概互联50,3,18.8558,3.0099,0.1012,0.3168,0.1596,0.0092,1756310400000,mid,1,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377123299,1756377123299,False,5,0.6832,0.8988,08-28,
492720,HKHSTECH,恒生科技,3,21.9567,3.1106,0.2351,0.6591,0.1417,0.01,1756310400000,mid,1,,0.05,1595779200000,1756377124490,1756377124490,False,5,0.3409,0.7649,08-28,
492683,SH000989,全指可选,3,21.9999,2.605,0.2544,0.498,0.1184,0.0229,1756310400000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377121874,1756377121874,False,5,0.502,0.7456,08-28,0.8241
492712,SZ399989,中证医疗,3,35.5724,3.8362,0.3664,0.136,0.1078,0.0147,1756310400000,mid,1,,0.05,1432483200000,1756377123893,1756377123893,False,5,0.864,0.6336,08-28,1.3075
492701,SH000978,医药100,3,36.069,3.4634,0.596,0.2136,0.096,0.015,1756310400000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377123156,1756377123156,False,5,0.7864,0.404,08-28,1.4048
492684,SH000991,全指医药,3,36.7047,3.461,0.5244,0.2576,0.0943,0.015,1756310400000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377121939,1756377121939,False,5,0.7424,0.4756,08-28,1.3847
492675,SZ399986,中证银行,3,7.2029,0.7191,0.9008,0.4304,0.0998,0.0398,1756310400000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377121266,1756377121266,True,5,0.5696,0.0992,08-28,3.2255
492660,SPACEVCP,标普价值,2,7.2384,0.798,0.6824,0.6556,0.1102,0.0427,1756310400000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1432569600000,1756377120049,1756377120049,False,5,0.3444,0.3176,08-28,1.6794
492715,SH000015,上证红利,2,7.8649,0.7763,0.7568,0.502,0.0987,0.044,1756310400000,high,2,,0.05,1432137600000,1756377124155,1756377124155,False,5,0.498,0.2432,08-28,8.0355
492674,SH000922,中证红利,2,8.2049,0.807,0.6788,0.388,0.0984,0.0446,1756310400000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377121200,1756377121200,False,5,0.612,0.3212,08-28,3.7374
492692,CSIH30269,红利低波,2,8.2265,0.8411,0.7496,0.5212,0.1022,0.0426,1756310400000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377122511,1756377122511,False,5,0.4788,0.2504,08-28,3.0832
492707,CSPSADRP,标普红利,2,8.451,0.9451,0.8832,0.5848,0.1118,0.0449,1756310400000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1432224000000,1756377123549,1756377123549,False,5,0.4152,0.1168,08-28,3.4863
492705,CSI931157,红利成长LV,2,8.5416,0.8747,0.749,0.5863,0.1024,0.0464,1756310400000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1756377123428,1756377123428,False,5,0.4137,0.251,08-28,1.798
492711,CSI930740,300红利LV,2,9.1963,0.937,0.8488,0.5216,0.1019,0.0402,1756310400000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1431532800000,1756377123829,1756377123829,False,5,0.4784,0.1512,08-28,3.0821
492696,SH000919,300价值,2,9.2376,0.9545,0.7652,0.486,0.1033,0.0384,1756310400000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377122787,1756377122787,False,5,0.514,0.2348,08-28,2.86
492666,HSFML25,香港大盘,1,9.9638,1.0205,0.7464,0.5132,0.1024,0.029,1756310400000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377120569,1756377120569,False,5,0.4868,0.2536,08-28,1.1339
492686,SH000925,基本面50,2,10.145,1.0575,0.8208,0.4376,0.1042,0.037,1756310400000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377122094,1756377122094,False,5,0.5624,0.1792,08-28,2.1101
492687,SZ399550,央视50,2,10.1712,1.0701,0.8176,0.2976,0.1052,0.0369,1756310400000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1432224000000,1756377122163,1756377122163,False,5,0.7024,0.1824,08-28,1.7925
492665,HKHSCEI,国企指数,1,10.3249,1.0699,0.8792,0.7836,0.1036,0.0281,1756310400000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377120504,1756377120504,False,5,0.2164,0.1208,08-28,1.7935
492670,SH000170,50AH优选,1,10.7724,1.1654,0.8499,0.6812,0.1082,0.0334,1756310400000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1756377120886,1756377120886,False,5,0.3188,0.1501,08-28,1.6997
492664,HKHSI,恒生指数,1,11.4626,1.1819,0.7496,0.7636,0.1031,0.0314,1756310400000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377120426,1756377120426,False,5,0.2364,0.2504,08-28,1.5752
492667,SH000016,上证50,1,11.931,1.3069,0.8992,0.7356,0.1095,0.0325,1756310400000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377120649,1756377120649,False,5,0.2644,0.1008,08-28,2.9652
492699,SH000010,上证180,1,12.2122,1.271,0.8272,0.4876,0.1041,0.0287,1756310400000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377123005,1756377123005,False,5,0.5124,0.1728,08-28,2.1375
492678,SZ399998,中证煤炭,3,13.841,1.5104,0.7492,0.7484,0.1091,0.0529,1756310400000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1429027200000,1756377121490,1756377121490,True,5,0.2516,0.2508,08-28,
492668,SH000300,沪深300,1,14.0934,1.4743,0.8224,0.5332,0.1046,0.0258,1756310400000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1432483200000,1756377120713,1756377120713,False,5,0.4668,0.1776,08-28,1.5614
