id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pb_over_history,pe_over_history
459605,SZ399986,中证银行,3,4.6622,0.5379,0.1139,0.0303,0.1154,0.0587,1694102400000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1694168203997,1694168203997,0.7599,True,09-08,0.9697,0.8861
459632,SPACEVCP,标普价值,2,5.3244,0.5384,0.0892,0.0792,0.1011,0.0572,1694102400000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,1.2354,False,09-08,0.9208,0.9108
459654,SH000015,上证红利,2,5.448,0.6143,0.1596,0.0732,0.1128,0.0661,1694102400000,low,0,,0.05,1370275200000,1694168203997,1694168203997,1.2888,False,09-08,0.9268,0.8404
459628,CSPSADRP,标普红利,2,5.4884,0.6814,0.1288,0.1476,0.1242,0.0692,1694102400000,low,0,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1370361600000,1694168203997,1694168203997,1.9831,False,09-08,0.8524,0.8712
459627,CSIH30269,红利低波,2,5.5993,0.6392,0.254,0.1236,0.1142,0.0619,1694102400000,low,0,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1694168203997,1694168203997,1.0214,False,09-08,0.8764,0.746
459604,SH000922,中证红利,2,5.8974,0.6488,0.1204,0.0404,0.11,0.0593,1694102400000,low,0,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,1.0179,False,09-08,0.9596,0.8796
459644,CSI931157,红利成长LV,2,7.1072,0.8295,0.16,0.118,0.1167,0.0402,1694102400000,low,0,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1370361600000,1694168203997,1694168203997,0.8692,False,09-08,0.882,0.84
459623,HSFML25,香港大盘,1,7.5465,0.8322,0.0764,0.0152,0.1103,0.0404,1694102400000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,0.8589,False,09-08,0.9848,0.9236
459620,SH000925,基本面50,2,7.8597,0.8776,0.2756,0.0644,0.1117,0.0485,1694102400000,low,0,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,1.2063,False,09-08,0.9356,0.7244
459621,SZ399550,央视50,2,8.0583,0.9783,0.2496,0.0188,0.1214,0.0421,1694102400000,low,0,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1370361600000,1694168203997,1694168203997,0.994,False,09-08,0.9812,0.7504
459616,HKHSI,恒生指数,1,8.8716,0.9238,0.1048,0.0772,0.1041,0.0382,1694102400000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,1.2191,False,09-08,0.9228,0.8952
459600,SH000170,50AH优选,1,8.9147,1.0644,0.2855,0.3104,0.1194,0.0359,1694102400000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1694168203997,1694168203997,1.3007,False,09-08,0.6896,0.7145
459598,SH000300,沪深300,1,11.6143,1.3023,0.272,0.0848,0.1121,0.0304,1694102400000,low,0,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,0.8229,False,09-08,0.9152,0.728
459649,SZ399393,国证地产,3,12.1787,0.9075,0.5396,0.0404,0.0745,0.0221,1694102400000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,0.7935,True,09-08,0.9596,0.4604
459645,GDAXI,德国DAX,1,12.646,1.5545,0.0682,0.2055,0.1229,0.0335,1694102400000,low,0,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1388592000000,1694168203997,1694168203997,,False,09-08,0.7945,0.9318
459606,SH000827,中证环保,3,17.0329,2.5709,0.0008,0.2528,0.1509,0.0186,1694102400000,low,0,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,0.6743,False,09-08,0.7472,0.9992
459601,SZ399330,深证100,1,19.6604,2.6397,0.2308,0.2664,0.1343,0.0163,1694102400000,low,0,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,0.73,False,09-08,0.7336,0.7692
459650,CSI930740,300红利LV,2,7.126,0.7783,0.3396,0.1276,0.1092,0.0468,1694102400000,mid,1,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1369670400000,1694168203997,1694168203997,1.0053,False,09-08,0.8724,0.6604
459634,SH000919,300价值,2,7.3667,0.8098,0.3176,0.0788,0.1099,0.0503,1694102400000,mid,1,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1370448000000,1694168203997,1694168203997,1.0844,False,09-08,0.9212,0.6824
