id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,pb_over_history,pe_over_history,date,peg
486400,SZ399393,国证地产,3,0.0,0.796,0.0,0.1176,0.0,0.0205,1746979200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1422288000000,1747044292615,1747044292615,True,0.8824,1.0,05-12,
486376,SZ399324,深证红利,2,13.3673,1.9489,0.1192,0.2496,0.1458,0.0418,1746979200000,low,0,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1422288000000,1747044292608,1747044292608,False,0.7504,0.8808,05-12,1.2698
486363,SZ399812,养老产业,3,13.9666,1.9491,0.03,0.11,0.1396,0.0237,1746979200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1422288000000,1747044292605,1747044292605,False,0.89,0.97,05-12,1.9789
486375,CSIH11136,中国互联,3,18.0885,2.9541,0.0708,0.2852,0.1633,0.0087,1746979200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1422288000000,1747044292608,1747044292608,False,0.7148,0.9292,05-12,
486361,SZ399975,证券公司,3,19.202,1.3676,0.2592,0.2632,0.0712,0.0159,1746979200000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1422288000000,1747044292604,1747044292604,True,0.7368,0.7408,05-12,1.3361
486384,SH000932,主要消费,3,20.152,4.3161,0.0088,0.2316,0.2142,0.0335,1746979200000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1422288000000,1747044292611,1747044292611,False,0.7684,0.9912,05-12,1.8773
486358,SZ399997,中证白酒,3,20.1667,5.1875,0.1472,0.2392,0.2572,0.0396,1746979200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1422288000000,1747044292569,1747044292569,False,0.7608,0.8528,05-12,2.2838
486409,CSIH30094,消费红利,2,20.6743,4.4306,0.11,0.2632,0.2143,0.039,1746979200000,low,0,,0.05,1422201600000,1747044292618,1747044292618,False,0.7368,0.89,05-12,1.9417
486362,SZ399396,国证食品,3,22.3769,4.4583,0.1016,0.1588,0.1992,0.0354,1746979200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1422288000000,1747044292604,1747044292604,False,0.8412,0.8984,05-12,2.0526
486406,CSI931079,5G通讯,3,26.4294,3.0803,0.1566,0.2531,0.1165,0.0134,1746979200000,low,0,,0.05,1556553600000,1747044292617,1747044292617,False,0.7469,0.8434,05-12,0.6975
