id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pb_over_history,pe_over_history
485199,SZ399393,国证地产,3,0.0,0.7789,0.0,0.1056,0.0,0.0201,1744214400000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1744280547742,1744280547742,0.7789,True,04-10,0.8944,1.0
485162,SZ399812,养老产业,3,13.0742,1.9132,0.0012,0.0844,0.1463,0.0255,1744214400000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1744280547423,1744280547423,0.3778,False,04-10,0.9156,0.9988
485174,CSIH11136,中国互联,3,15.7734,2.5771,0.0088,0.1756,0.1634,0.01,1744214400000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1744280547715,1744280547715,,False,04-10,0.8244,0.9912
485191,CSIH30533,中概互联50,3,16.7824,2.7123,0.0216,0.23,0.1616,0.0091,1744214400000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1744280547739,1744280547739,,False,04-10,0.77,0.9784
485151,SZ399330,深证100,1,20.9297,2.2957,0.2756,0.0896,0.1097,0.0261,1744214400000,low,0,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1744280547420,1744280547420,1.4997,False,04-10,0.9104,0.7244
485205,CSI931079,5G通讯,3,25.1995,2.9221,0.097,0.1331,0.116,0.0138,1744214400000,low,0,,0.05,1556553600000,1744280547743,1744280547743,0.9223,False,04-10,0.8669,0.903
485153,SZ399006,创业板,1,29.0952,3.6255,0.11,0.1084,0.1246,0.0146,1744214400000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1744280547420,1744280547420,1.0957,False,04-10,0.8916,0.89
485201,SZ399989,中证医疗,3,29.1832,3.2223,0.1292,0.0168,0.1104,0.0178,1744214400000,low,0,,0.05,1419782400000,1744280547742,1744280547742,2.5069,False,04-10,0.9832,0.8708
485189,SH000978,医药100,3,30.1734,3.073,0.2708,0.0584,0.1018,0.0198,1744214400000,low,0,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1744280547739,1744280547739,1.6737,False,04-10,0.9416,0.7292
485198,SZ399971,中证传媒,3,30.385,2.1756,0.268,0.2164,0.0716,0.023,1744214400000,low,0,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1744280547741,1744280547741,46.5293,False,04-10,0.7836,0.732
