id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
500386,SZ399393,国证地产,3,0.0,0.898,0.0,0.2364,0.0,0.0105,1768838400000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1444838400000,1768905123859,1768905123859,True,5,01-20,0.7636,1.0,
500360,SZ399812,养老产业,3,13.1525,2.174,0.0236,0.2484,0.1653,0.0211,1768838400000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1444838400000,1768905121643,1768905121643,False,5,01-20,0.7516,0.9764,0.8321
500355,SZ399997,中证白酒,3,18.2197,4.8164,0.0264,0.1416,0.2644,0.0448,1768838400000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1444838400000,1768905121217,1768905121217,False,5,01-20,0.8584,0.9736,79.4345
500394,CSIH30094,消费红利,2,18.3376,4.1688,0.0128,0.1644,0.2273,0.0444,1768838400000,low,0,,0.05,1444752000000,1768905124498,1768905124498,False,5,01-20,0.8356,0.9872,8.4597
500371,SH000932,主要消费,3,18.9205,3.9997,0.0128,0.1408,0.2114,0.0389,1768838400000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1444838400000,1768905122518,1768905122518,False,5,01-20,0.8592,0.9872,3.5822
500359,SZ399396,国证食品,3,20.5264,4.2086,0.0396,0.0776,0.205,0.0396,1768838400000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1444838400000,1768905121540,1768905121540,False,5,01-20,0.9224,0.9604,5.6385
500358,SZ399975,证券公司,3,17.1196,1.4812,0.1476,0.3808,0.0865,0.0142,1768838400000,mid,1,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1444838400000,1768905121464,1768905121464,True,5,01-20,0.6192,0.8524,0.6836
500379,CSIH30533,中概互联50,3,19.5437,2.9304,0.1364,0.3008,0.1499,0.0088,1768838400000,mid,1,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1444838400000,1768905123300,1768905123300,False,5,01-20,0.6992,0.8636,
500340,CSIH11136,中国互联,3,19.7337,2.939,0.1696,0.3184,0.1489,0.0093,1768752000000,mid,1,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1444752000000,1768872720930,1768872720930,False,5,01-19,0.6816,0.8304,
500388,SZ399989,中证医疗,3,34.6455,3.6782,0.38,0.1356,0.1062,0.0139,1768838400000,mid,1,,0.05,1444838400000,1768905124056,1768905124056,False,5,01-20,0.8644,0.62,1.4467
