id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
501787,SZ399393,国证地产,3,0.0,0.9091,0.0,0.2572,0.0,0.0104,1770566400000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633123448,1770633123448,True,5,0.7428,1.0,02-09,
501761,SZ399812,养老产业,3,13.1407,2.1735,0.0276,0.2528,0.1654,0.0211,1770566400000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633121480,1770633121480,False,5,0.7472,0.9724,02-09,0.8374
501737,CSIH11136,中国互联,3,18.2079,2.7159,0.1052,0.2336,0.1492,0.01,1770307200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1446480000000,1770427920802,1770427920802,False,5,0.7664,0.8948,02-06,
501780,CSIH30533,中概互联50,3,18.4935,2.7769,0.0892,0.2588,0.1502,0.0092,1770566400000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633122915,1770633122915,False,5,0.7412,0.9108,02-09,
501795,CSIH30094,消费红利,2,19.3598,4.4096,0.0772,0.2324,0.2278,0.0375,1770566400000,low,0,,0.05,1446480000000,1770633124098,1770633124098,False,5,0.7676,0.9228,02-09,9.1705
501756,SZ399997,中证白酒,3,19.4974,5.1715,0.1148,0.214,0.2652,0.0363,1770566400000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633121075,1770633121075,False,5,0.786,0.8852,02-09,129.3979
501772,SH000932,主要消费,3,19.88,4.1541,0.0608,0.1888,0.209,0.0339,1770566400000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633122325,1770633122325,False,5,0.8112,0.9392,02-09,3.754
501760,SZ399396,国证食品,3,21.5064,4.3918,0.1112,0.144,0.2042,0.0343,1770566400000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633121407,1770633121407,False,5,0.856,0.8888,02-09,6.0261
501759,SZ399975,证券公司,3,16.9715,1.4682,0.1384,0.3708,0.0865,0.0153,1770566400000,mid,1,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633121319,1770633121319,True,5,0.6292,0.8616,02-09,0.6735
501796,HKHSTECH,恒生科技,3,22.489,2.9807,0.2621,0.5687,0.1325,0.0102,1770566400000,mid,1,,0.05,1595779200000,1770633124185,1770633124185,False,5,0.4313,0.7379,02-09,
501763,SH000991,全指医药,3,33.8108,3.2145,0.4136,0.1772,0.0951,0.0157,1770566400000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633121619,1770633121619,False,5,0.8228,0.5864,02-09,1.6293
501778,SH000978,医药100,3,33.9291,3.2745,0.452,0.1672,0.0965,0.0153,1770566400000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633122770,1770633122770,False,5,0.8328,0.548,02-09,1.704
501789,SZ399989,中证医疗,3,33.9764,3.6077,0.3652,0.1192,0.1062,0.0144,1770566400000,mid,1,,0.05,1446566400000,1770633123610,1770633123610,False,5,0.8808,0.6348,02-09,1.4109
501754,SZ399986,中证银行,3,6.7481,0.6603,0.7844,0.334,0.0978,0.0461,1770566400000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1446566400000,1770633120922,1770633120922,True,5,0.666,0.2156,02-09,3.8445
501744,SPACEVCP,标普价值,2,7.7491,0.854,0.7748,0.7572,0.1102,0.0402,1770566400000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1446652800000,1770633120081,1770633120081,False,5,0.2428,0.2252,02-09,1.7979
