id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
515320,935600,MSCI印度,1,35.5872,4.7965,0.7772,0.7772,0.1348,0.0095,1787587200000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1484150400000,1787653924590,1787653924590,False,5,08-25,0.2228,0.2228,
515313,CSI716567,MSCI中国,1,14.7076,1.5236,0.7865,0.6442,0.1036,0.0237,1787587200000,high,2,,0.05,1508688000000,1787653924047,1787653924047,False,5,08-25,0.3558,0.2135,0.7987
515314,CSI930652,中证电子,3,54.368,6.3373,0.828,0.9696,0.1166,0.0063,1787587200000,high,2,,0.05,1463068800000,1787653924114,1787653924114,False,5,08-25,0.0304,0.172,0.7506
515311,CSI930740,300红利LV,2,9.0511,0.8763,0.7932,0.4312,0.0968,0.0437,1787587200000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1462377600000,1787653923847,1787653923847,False,5,08-25,0.5688,0.2068,2.9467
515292,CSI930782,500低波,2,20.1984,1.6356,0.506,0.6908,0.081,0.0241,1787587200000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1463328000000,1787653922358,1787653922358,False,5,08-25,0.3092,0.494,0.9897
515316,CSI931079,5G通讯,3,45.55,6.7762,0.8313,0.9477,0.1488,0.0063,1787587200000,high,2,,0.05,1556553600000,1787653924299,1787653924299,False,5,08-25,0.0523,0.1687,0.487
515306,CSI931087,科技龙头,3,47.6355,7.3685,0.679,0.9292,0.1547,0.0062,1787587200000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1787653923456,1787653923456,False,5,08-25,0.0708,0.321,0.6478
515304,CSI931142,东证竞争,2,18.3687,2.8582,0.9148,0.8732,0.1556,0.0243,1787587200000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1463328000000,1787653923328,1787653923328,False,5,08-25,0.1268,0.0852,0.6083
515305,CSI931157,红利成长LV,2,7.9727,0.8654,0.6289,0.5474,0.1085,0.0504,1787587200000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1787653923402,1787653923402,False,5,08-25,0.4526,0.3711,1.2347
515263,CSIH11136,中国互联,3,17.2108,2.0447,0.1128,0.0096,0.1188,0.0119,1787500800000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1463068800000,1787621520850,1787621520850,False,5,08-24,0.9904,0.8872,
515318,CSIH30094,消费红利,2,18.7936,3.5351,0.0632,0.0244,0.1881,0.0421,1787587200000,low,0,,0.05,1463068800000,1787653924430,1787653924430,False,5,08-25,0.9756,0.9368,2.1629
515293,CSIH30269,红利低波,2,8.4943,0.8721,0.79,0.62,0.1027,0.0432,1787587200000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1463328000000,1787653922454,1787653922454,False,5,08-25,0.38,0.21,1.8885
515303,CSIH30533,中概互联50,3,17.3348,2.0657,0.0892,0.0128,0.1192,0.0111,1787587200000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1463328000000,1787653923257,1787653923257,False,5,08-25,0.9872,0.9108,
515307,CSPSADRP,标普红利,2,10.2103,1.185,0.9924,0.9164,0.1161,0.0485,1787587200000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1463068800000,1787653923530,1787653923530,False,5,08-25,0.0836,0.0076,1.8139
515321,GDAXI,德国DAX,1,17.5577,1.7703,0.4916,0.6172,0.1008,0.001,1787587200000,high,2,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1463068800000,1787653924662,1787653924662,False,5,08-25,0.3828,0.5084,
515261,HKHSCEI,国企指数,1,10.1986,0.9819,0.7968,0.5644,0.0963,0.0292,1787500800000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1463068800000,1787621520410,1787621520410,False,5,08-24,0.4356,0.2032,1.7715
515260,HKHSI,恒生指数,1,11.888,1.213,0.73,0.768,0.102,0.0315,1787500800000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1463068800000,1787621520315,1787621520315,False,5,08-24,0.232,0.27,1.6336
515266,HKHSSCNE,新经济,2,23.8737,2.6667,0.4843,0.3696,0.1117,0.0112,1787500800000,high,2,,0.05,1542729600000,1787621521451,1787621521451,False,5,08-24,0.6304,0.5157,
515319,HKHSTECH,恒生科技,3,24.2789,2.465,0.4496,0.2586,0.1015,0.0105,1787587200000,mid,1,,0.05,1595779200000,1787653924512,1787653924512,False,5,08-25,0.7414,0.5504,
515262,HSFML25,香港大盘,1,9.8155,0.9932,0.6528,0.4164,0.1012,0.0302,1787500800000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1463068800000,1787621520500,1787621520500,False,5,08-24,0.5836,0.3472,1.117
515259,NDX,纳指100,1,30.5854,9.1793,0.492,0.788,0.3001,0.0044,1787500800000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1462982400000,1787621520222,1787621520222,False,5,08-24,0.212,0.508,1.518
515299,SH000010,上证180,1,11.8964,1.2272,0.7204,0.4216,0.1032,0.0297,1787587200000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1463328000000,1787653922942,1787653922942,False,5,08-25,0.5784,0.2796,1.1499
515315,SH000015,上证红利,2,8.9961,0.8637,0.9784,0.6268,0.096,0.0407,1787587200000,high,2,,0.05,1462982400000,1787653924202,1787653924202,False,5,08-25,0.3732,0.0216,1.5339
515269,SH000016,上证50,1,11.2794,1.2427,0.726,0.5516,0.1102,0.0321,1787587200000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1463328000000,1787653920301,1787653920301,False,5,08-25,0.4484,0.274,1.3914
515272,SH000170,50AH优选,1,9.8407,1.1867,0.5512,0.7148,0.1206,0.0302,1787587200000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1463328000000,1787653920590,1787653920590,False,5,08-25,0.2852,0.4488,1.4408
