id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pb_over_history,pe_over_history
480343,SZ399393,国证地产,3,0.0,0.8468,0.0,0.1136,0.0,0.0177,1734019200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1409760000000,1734083440156,1734083440156,0.8468,True,12-13,0.8864,1.0
480294,SH000170,50AH优选,1,8.4708,0.9268,0.1259,0.0657,0.1094,0.0401,1734019200000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1734083440131,1734083440131,3.0005,False,12-13,0.9343,0.8741
480310,HKHSI,恒生指数,1,9.2536,0.9714,0.2784,0.2836,0.105,0.0389,1734019200000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1409760000000,1734083440143,1734083440143,1.2716,False,12-13,0.7164,0.7216
480306,SZ399812,养老产业,3,14.6031,2.0456,0.004,0.1072,0.1401,0.0237,1734019200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1409760000000,1734083440141,1734083440141,0.4514,False,12-13,0.8928,0.996
480318,CSIH11136,中国互联,3,17.7408,2.6013,0.0444,0.1796,0.1466,0.0135,1734019200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1409760000000,1734083440146,1734083440146,,False,12-13,0.8204,0.9556
480335,CSIH30533,中概互联50,3,18.4144,2.6692,0.0462,0.21,0.145,0.0126,1734019200000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1734083440153,1734083440153,,False,12-13,0.79,0.9538
480301,SZ399997,中证白酒,3,20.4767,5.676,0.142,0.296,0.2772,0.0318,1734019200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1734083440139,1734083440139,1.7409,False,12-13,0.704,0.858
480345,SZ399989,中证医疗,3,32.8618,3.6599,0.2503,0.0572,0.1114,0.0156,1734019200000,low,0,,0.05,1414684800000,1734083440157,1734083440157,2.0755,False,12-13,0.9428,0.7497
480297,SZ399006,创业板,1,34.5943,4.1494,0.1908,0.194,0.1199,0.012,1734019200000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1409760000000,1734083440133,1734083440133,1.1611,False,12-13,0.806,0.8092
480299,SZ399986,中证银行,3,6.0507,0.6281,0.4732,0.2564,0.1038,0.0511,1734019200000,mid,1,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1409760000000,1734083440137,1734083440137,3.2962,True,12-13,0.7436,0.5268
