id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,pb_over_history,pe_over_history,date
494214,SZ399812,养老产业,3,15.0362,2.1783,0.0728,0.2304,0.1449,0.0222,1759161600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228321551,1759228321551,1.9356,False,5,0.7696,0.9272,09-30
494209,SZ399997,中证白酒,3,18.827,5.2048,0.07,0.2248,0.2765,0.038,1759161600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228321230,1759228321230,3.8378,False,5,0.7752,0.93,09-30
494227,SH000932,主要消费,3,19.3114,4.3676,0.0216,0.2456,0.2262,0.0333,1759161600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228322434,1759228322434,2.1415,False,5,0.7544,0.9784,09-30
494251,CSIH30094,消费红利,2,19.3176,4.44,0.0548,0.2496,0.2298,0.0379,1759161600000,low,0,,0.05,1435161600000,1759228323951,1759228323951,2.5588,False,5,0.7504,0.9452,09-30
494213,SZ399396,国证食品,3,21.0715,4.5089,0.064,0.1748,0.214,0.0347,1759161600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228321485,1759228321485,2.7588,False,5,0.8252,0.936,09-30
494242,SZ399393,国证地产,3,0.0,0.9553,0.0,0.3036,0.0,0.0105,1759161600000,mid,1,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228323444,1759228323444,,True,5,0.6964,1.0,09-30
494206,SH000922,中证红利,2,7.787,0.7545,0.54,0.2936,0.0969,0.0469,1759161600000,mid,1,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228321031,1759228321031,4.2735,False,5,0.7064,0.46,09-30
494221,CSIH11136,中国互联,3,20.6194,3.3992,0.1792,0.3744,0.1649,0.0085,1759161600000,mid,1,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228322025,1759228322025,,False,5,0.6256,0.8208,09-30
494235,CSIH30533,中概互联50,3,21.3345,3.4957,0.1892,0.3772,0.1639,0.0078,1759161600000,mid,1,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228322967,1759228322967,,False,5,0.6228,0.8108,09-30
494244,SZ399989,中证医疗,3,36.6403,3.9694,0.3804,0.16,0.1083,0.0137,1759161600000,mid,1,,0.05,1435248000000,1759228323568,1759228323568,1.4345,False,5,0.84,0.6196,09-30
494207,SZ399986,中证银行,3,6.7619,0.6656,0.8036,0.3428,0.0984,0.0429,1759161600000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228321105,1759228321105,3.1976,True,5,0.6572,0.1964,09-30
494192,SPACEVCP,标普价值,2,7.0902,0.7816,0.6616,0.642,0.1102,0.0438,1759161600000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1435507200000,1759228320047,1759228320047,1.6451,False,5,0.358,0.3384,09-30
494247,SH000015,上证红利,2,7.4876,0.7244,0.6288,0.3692,0.0967,0.0459,1759161600000,high,2,,0.05,1435075200000,1759228323753,1759228323753,12.6146,False,5,0.6308,0.3712,09-30
494224,CSIH30269,红利低波,2,7.7693,0.7869,0.7228,0.4524,0.1013,0.0455,1759161600000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228322230,1759228322230,3.1941,False,5,0.5476,0.2772,09-30
494239,CSPSADRP,标普红利,2,8.073,0.8908,0.8484,0.542,0.1103,0.0473,1759161600000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1435161600000,1759228323215,1759228323215,3.7812,False,5,0.458,0.1516,09-30
494237,CSI931157,红利成长LV,2,8.223,0.8273,0.6939,0.4319,0.1006,0.0486,1759161600000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1759228323128,1759228323128,1.7254,False,5,0.5681,0.3061,09-30
494243,CSI930740,300红利LV,2,8.731,0.8806,0.734,0.4236,0.1009,0.0422,1759161600000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1434384000000,1759228323507,1759228323507,3.1977,False,5,0.5764,0.266,09-30
494228,SH000919,300价值,2,8.7701,0.8989,0.6636,0.3316,0.1025,0.0404,1759161600000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228322497,1759228322497,2.6869,False,5,0.6684,0.3364,09-30
494219,SZ399550,央视50,2,9.8198,1.0242,0.7476,0.2108,0.1043,0.0379,1759161600000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1435161600000,1759228321883,1759228321883,1.7931,False,5,0.7892,0.2524,09-30
494218,SH000925,基本面50,2,9.9709,1.0286,0.784,0.404,0.1032,0.0374,1759161600000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228321820,1759228321820,2.2083,False,5,0.596,0.216,09-30
494198,HSFML25,香港大盘,1,10.4675,1.07,0.848,0.6384,0.1022,0.0261,1759161600000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1435248000000,1759228320493,1759228320493,1.1912,False,5,0.3616,0.152,09-30
