id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
511408,SZ399393,国证地产,3,0.0,0.7045,0.0,0.0668,0.0,0.0172,1782748800000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782815523980,1782815523980,True,5,06-30,0.9332,1.0,
511382,SZ399812,养老产业,3,10.563,1.6354,0.0008,0.0044,0.1548,0.0305,1782748800000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782815521693,1782815521693,False,5,06-30,0.9956,0.9992,1.1737
511361,CSIH11136,中国互联,3,14.7689,1.9084,0.0016,0.0032,0.1292,0.0124,1782662400000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1458057600000,1782783120906,1782783120906,False,5,06-29,0.9968,0.9984,
511428,CSIH30533,中概互联50,3,14.831,1.9199,0.0024,0.004,0.1295,0.0117,1782748800000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782833521076,1782833521076,False,5,06-30,0.996,0.9976,
511380,SZ399975,证券公司,3,15.4694,1.3328,0.0748,0.2468,0.0862,0.0196,1782748800000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782815521505,1782815521505,True,5,06-30,0.7532,0.9252,1.1072
511416,CSIH30094,消费红利,2,17.1744,3.252,0.0028,0.002,0.1894,0.0474,1782748800000,low,0,,0.05,1458057600000,1782815524593,1782815524593,False,5,06-30,0.998,0.9972,1.8225
511377,SZ399997,中证白酒,3,17.9321,3.741,0.02,0.006,0.2086,0.0481,1782748800000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782815521245,1782815521245,False,5,06-30,0.994,0.98,1.9603
511393,SH000932,主要消费,3,18.8387,3.1864,0.0132,0.0024,0.1691,0.0427,1782748800000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782815522691,1782815522691,False,5,06-30,0.9976,0.9868,1.3441
511381,SZ399396,国证食品,3,19.0854,3.3343,0.01,0.002,0.1747,0.0429,1782748800000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782815521600,1782815521600,False,5,06-30,0.998,0.99,1.7012
511424,SH000989,全指可选,3,20.4434,2.0668,0.18,0.1604,0.1011,0.0272,1782748800000,low,0,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782833520564,1782833520564,False,5,06-30,0.8396,0.82,0.7247
