id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
489273,SZ399393,国证地产,3,0.0,0.8046,0.0,0.1372,0.0,0.0214,1750003200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069924143,1750069924143,True,5,06-16,0.8628,1.0,
489245,SZ399812,养老产业,3,14.5915,2.0882,0.0496,0.1716,0.1431,0.0218,1750003200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069921849,1750069921849,False,5,06-16,0.8284,0.9504,2.1888
489252,CSIH11136,中国互联,3,16.5438,2.7477,0.0296,0.2416,0.1661,0.0107,1750003200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069922417,1750069922417,False,5,06-16,0.7584,0.9704,
489266,CSIH30533,中概互联50,3,17.6668,2.8952,0.0556,0.278,0.1639,0.0096,1750003200000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069923603,1750069923603,False,5,06-16,0.722,0.9444,
489240,SZ399997,中证白酒,3,17.7865,4.589,0.0104,0.1616,0.258,0.0445,1750003200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069921449,1750069921449,False,5,06-16,0.8384,0.9896,2.0823
489258,SH000932,主要消费,3,18.7784,4.1011,0.0,0.1692,0.2184,0.0371,1750003200000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069922931,1750069922931,False,5,06-16,0.8308,1.0,1.8079
489282,CSIH30094,消费红利,2,18.8746,4.1209,0.0216,0.1948,0.2183,0.0421,1750003200000,low,0,,0.05,1425571200000,1750069924887,1750069924887,False,5,06-16,0.8052,0.9784,1.8061
489244,SZ399396,国证食品,3,20.5525,4.2484,0.0348,0.0908,0.2067,0.0386,1750003200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069921761,1750069921761,False,5,06-16,0.9092,0.9652,1.9252
489275,SZ399989,中证医疗,3,30.543,3.4123,0.2,0.0544,0.1117,0.0194,1750003200000,low,0,,0.05,1425830400000,1750069924289,1750069924289,False,5,06-16,0.9456,0.8,1.1403
489236,SZ399006,创业板,1,31.1741,3.8943,0.1628,0.1688,0.1249,0.0131,1750003200000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069921116,1750069921116,False,5,06-16,0.8312,0.8372,0.8732
489262,SH000010,上证180,1,11.1292,1.1647,0.5876,0.254,0.1047,0.0359,1750003200000,mid,1,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069923261,1750069923261,False,5,06-16,0.746,0.4124,1.9411
489231,SH000300,沪深300,1,12.7787,1.3401,0.57,0.208,0.1049,0.0323,1750003200000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069920712,1750069920712,False,5,06-16,0.792,0.43,1.4094
489276,CSI716567,MSCI中国,1,13.0881,1.3517,0.6625,0.2594,0.1033,0.0312,1750003200000,mid,1,,0.05,1508688000000,1750069924364,1750069924364,False,5,06-16,0.7406,0.3375,1.2373
489253,SZ399324,深证红利,2,14.0462,2.2863,0.198,0.626,0.1628,0.0446,1750003200000,mid,1,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069922504,1750069922504,False,5,06-16,0.374,0.802,1.1542
489257,SZ399317,国证A指,1,18.8774,1.5763,0.6464,0.2368,0.0835,0.0232,1750003200000,mid,1,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069922861,1750069922861,False,5,06-16,0.7632,0.3536,1.1912
489243,SZ399975,证券公司,3,19.5168,1.3952,0.2864,0.3024,0.0715,0.0166,1750003200000,mid,1,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069921686,1750069921686,True,5,06-16,0.6976,0.7136,1.3541
489261,SZ399702,基本面120,2,20.6244,2.0106,0.5248,0.234,0.0975,0.0274,1750003200000,mid,1,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069923174,1750069923174,False,5,06-16,0.766,0.4752,0.6541
489234,SZ399330,深证100,1,22.1841,2.4879,0.4508,0.1904,0.1121,0.0238,1750003200000,mid,1,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069920930,1750069920930,False,5,06-16,0.8096,0.5492,0.7561
489263,SZ399001,深证成指,1,26.0785,2.2717,0.4736,0.1852,0.0871,0.0194,1750003200000,mid,1,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069923351,1750069923351,False,5,06-16,0.8148,0.5264,0.6937
489279,CSI931079,5G通讯,3,27.0997,3.1878,0.2079,0.319,0.1176,0.0121,1750003200000,mid,1,,0.05,1556553600000,1750069924746,1750069924746,False,5,06-16,0.681,0.7921,0.7312
489239,SH000827,中证环保,3,30.8987,2.1296,0.6164,0.1168,0.0689,0.0214,1750003200000,mid,1,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069921355,1750069921355,False,5,06-16,0.8832,0.3836,0.5222
489264,SH000978,医药100,3,33.8063,3.2318,0.4256,0.1304,0.0956,0.0176,1750003200000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069923426,1750069923426,False,5,06-16,0.8696,0.5744,1.3025
489247,SH000991,全指医药,3,34.2781,3.2136,0.4188,0.1572,0.0938,0.0174,1750003200000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069921993,1750069921993,False,5,06-16,0.8428,0.5812,1.2784
489272,SZ399971,中证传媒,3,37.1013,2.2704,0.5492,0.2784,0.0612,0.0175,1750003200000,mid,1,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1425830400000,1750069924074,1750069924074,False,5,06-16,0.7216,0.4508,0.7829
