id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
470063,CSI931157,红利成长LV,2,6.4421,0.6643,0.1472,0.0908,0.1031,0.0495,1716134400000,low,0,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1392048000000,1716200434783,1716200434783,0.6643,False,0.9092,0.8528,05-20
470032,SH000989,全指可选,3,19.3491,2.3093,0.116,0.2584,0.1193,0.0223,1716134400000,low,0,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,0.772,False,0.7416,0.884,05-20
470020,SZ399330,深证100,1,20.0807,2.3503,0.2516,0.1552,0.117,0.0198,1716134400000,low,0,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,0.8185,False,0.8448,0.7484,05-20
470025,SH000827,中证环保,3,20.7372,2.1989,0.1592,0.1388,0.106,0.0212,1716134400000,low,0,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,1.1908,False,0.8612,0.8408,05-20
470057,SZ399001,深证成指,1,22.945,2.107,0.266,0.136,0.0918,0.0167,1716134400000,low,0,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,0.7521,False,0.864,0.734,05-20
470067,SZ399971,中证传媒,3,23.4811,1.9536,0.0472,0.0855,0.0832,0.0184,1716134400000,low,0,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1397491200000,1716200434783,1716200434783,2.1876,False,0.9145,0.9528,05-20
470043,CSIH11136,中国互联,3,23.9735,2.7613,0.0876,0.1752,0.1152,0.0088,1716134400000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,,False,0.8248,0.9124,05-20
470060,CSIH30533,中概互联50,3,24.0494,2.761,0.0955,0.2042,0.1148,0.0084,1716134400000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1716200434783,1716200434783,,False,0.7958,0.9045,05-20
470022,SZ399006,创业板,1,28.8672,3.6168,0.0672,0.07,0.1253,0.0123,1716134400000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,0.7606,False,0.93,0.9328,05-20
470058,SH000978,医药100,3,29.678,3.0826,0.2,0.0136,0.1039,0.0149,1716134400000,low,0,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,1.0525,False,0.9864,0.8,05-20
470066,SZ399610,TMT50,3,30.1285,2.8704,0.2032,0.0676,0.0953,0.0081,1716134400000,low,0,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1447430400000,1716200434783,1716200434783,0.7495,False,0.9324,0.7968,05-20
470070,SZ399989,中证医疗,3,31.1426,3.6581,0.1722,0.0125,0.1175,0.0177,1716134400000,low,0,,0.05,1414684800000,1716200434783,1716200434783,1.1418,False,0.9875,0.8278,05-20
470065,CSI931087,科技龙头,3,31.4539,3.1363,0.1268,0.0199,0.0997,0.0103,1716134400000,low,0,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1716200434783,1716200434783,1.0139,False,0.9801,0.8732,05-20
470033,SH000991,全指医药,3,32.6389,3.1282,0.2812,0.0388,0.0958,0.0147,1716134400000,low,0,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,0.9639,False,0.9612,0.7188,05-20
470034,SH000993,全指信息,3,44.9945,3.0692,0.2156,0.0788,0.0682,0.0076,1716134400000,low,0,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,0.8134,False,0.9212,0.7844,05-20
470028,SZ399967,中证军工,3,56.4204,2.6862,0.2392,0.2264,0.0476,0.0043,1716134400000,low,0,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,0.8225,True,0.7736,0.7608,05-20
470024,SZ399986,中证银行,3,5.5094,0.5782,0.3252,0.1644,0.1049,0.0496,1716134400000,mid,1,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,2.4641,True,0.8356,0.6748,05-20
470073,SH000015,上证红利,2,6.5134,0.6721,0.4024,0.2624,0.1032,0.0554,1716134400000,mid,1,,0.05,1391961600000,1716200434783,1716200434783,3.3251,False,0.7376,0.5976,05-20
470046,CSIH30269,红利低波,2,6.5495,0.6874,0.4604,0.27,0.105,0.0522,1716134400000,mid,1,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,2.4308,False,0.73,0.5396,05-20
470023,SH000922,中证红利,2,7.1775,0.735,0.4,0.228,0.1024,0.0507,1716134400000,mid,1,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1392134400000,1716200434783,1716200434783,2.2621,False,0.772,0.6,05-20
