id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
436537,SZ399986,中证银行,3,4.9808,0.5835,0.1093,0.0042,0.1171,0.0493,1653494400000,low,0,https://danjuanapp.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1653559131684,1653559131684,0.5036,True,0.9958,0.8907,05-26
436587,SH000015,上证红利,2,5.3258,0.6341,0.0392,0.0428,0.1191,0.0577,1653494400000,low,0,,0.05,1329062400000,1653559131684,1653559131684,0.6402,False,0.9572,0.9608,05-26
436559,CSIH30269,红利低波,2,5.3401,0.6327,0.057,0.0287,0.1185,0.0536,1653494400000,low,0,https://danjuanapp.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1653559131684,1653559131684,0.5749,False,0.9713,0.943,05-26
436565,SPACEVCP,标普价值,2,5.5647,0.5627,0.0929,0.0525,0.1011,0.0547,1653494400000,low,0,https://danjuanapp.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1653559131684,1653559131684,1.2911,False,0.9475,0.9071,05-26
436577,CSI931157,红利成长LV,2,5.6253,0.6182,0.0336,0.006,0.1099,0.0504,1653494400000,low,0,https://danjuanapp.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1329148800000,1653559131684,1653559131684,0.6144,False,0.994,0.9664,05-26
436560,CSPSADRP,标普红利,2,5.8004,0.6543,0.0668,0.0236,0.1128,0.0541,1653494400000,low,0,https://danjuanapp.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1329148800000,1653559131684,1653559131684,0.5946,False,0.9764,0.9332,05-26
436536,SH000922,中证红利,2,5.9173,0.6859,0.028,0.0072,0.1159,0.0543,1653494400000,low,0,https://danjuanapp.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.6084,False,0.9928,0.972,05-26
436583,CSI930740,300红利LV,2,6.4183,0.7152,0.092,0.004,0.1114,0.0452,1653494400000,low,0,https://danjuanapp.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1328457600000,1653559131684,1653559131684,0.6206,False,0.996,0.908,05-26
436567,SH000919,300价值,2,6.8971,0.7867,0.114,0.0056,0.1141,0.0415,1653494400000,low,0,https://danjuanapp.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.5966,False,0.9944,0.886,05-26
436564,CSI930949,神奇公式,2,7.4115,2.1638,0.0196,0.5128,0.292,0.0287,1653494400000,low,0,https://danjuanapp.com/funding/006255?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.5348,False,0.4872,0.9804,05-26
436552,SH000925,基本面50,2,7.492,0.8581,0.1468,0.004,0.1145,0.0401,1653494400000,low,0,https://danjuanapp.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.6662,False,0.996,0.8532,05-26
436555,HSFML25,香港大盘,1,8.3269,0.9143,0.2492,0.0424,0.1098,0.0288,1653494400000,low,0,https://danjuanapp.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.9477,False,0.9576,0.7508,05-26
436561,SPHCMSHP,香港中小,1,9.3387,0.881,0.0224,0.0105,0.0943,0.0438,1653494400000,low,0,https://danjuanapp.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1653559131684,1653559131684,,False,0.9895,0.9776,05-26
436548,HKHSI,恒生指数,1,9.3846,0.9139,0.2672,0.0192,0.0974,0.0289,1653494400000,low,0,https://danjuanapp.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,1.2896,False,0.9808,0.7328,05-26
436570,SH000010,上证180,1,9.7469,1.1263,0.2584,0.022,0.1156,0.0268,1653494400000,low,0,https://danjuanapp.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.73,False,0.978,0.7416,05-26
436578,GDAXI,德国DAX,1,12.5911,1.5576,0.0333,0.1876,0.1237,0.0332,1653494400000,low,0,https://danjuanapp.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1388592000000,1653559131684,1653559131684,,False,0.8124,0.9667,05-26
436558,CSI930782,500低波,2,15.0262,1.197,0.1129,0.0144,0.0797,0.0228,1653494400000,low,0,https://danjuanapp.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1653559131684,1653559131684,0.7773,False,0.9856,0.8871,05-26
436542,SZ399975,证券公司,3,15.704,1.2969,0.1167,0.0723,0.0826,0.0175,1653494400000,low,0,https://danjuanapp.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1653559131684,1653559131684,1.2993,True,0.9277,0.8833,05-26
436544,SZ399812,养老产业,3,19.1508,2.1189,0.0937,0.0005,0.1106,0.0176,1653494400000,low,0,https://danjuanapp.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1401984000000,1653559131684,1653559131684,0.9352,False,0.9995,0.9063,05-26
436531,SH000905,中证500,1,19.8238,1.6193,0.0768,0.032,0.0817,0.0182,1653494400000,low,0,https://danjuanapp.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.5054,False,0.968,0.9232,05-26
436549,HKHSCEI,国企指数,1,8.0927,0.8328,0.3776,0.0536,0.1029,0.0274,1653494400000,mid,1,https://danjuanapp.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,1.4056,False,0.9464,0.6224,05-26
436553,SZ399550,央视50,2,8.341,1.0421,0.3713,0.0037,0.1249,0.0346,1653494400000,mid,1,https://danjuanapp.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1338912000000,1653559131684,1653559131684,0.7184,False,0.9963,0.6287,05-26
436532,SH000170,50AH优选,1,9.2365,1.1181,0.3412,0.4723,0.1211,0.0239,1653494400000,mid,1,https://danjuanapp.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1653559131684,1653559131684,0.9218,False,0.5277,0.6588,05-26
436540,SZ399998,中证煤炭,3,9.5856,1.6534,0.2886,0.9472,0.1725,0.0326,1653494400000,mid,1,https://danjuanapp.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1423756800000,1653559131684,1653559131684,,True,0.0528,0.7114,05-26
436529,SH000016,上证50,1,9.6609,1.1997,0.41,0.2908,0.1242,0.0284,1653494400000,mid,1,https://danjuanapp.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.8751,False,0.7092,0.59,05-26
436554,SH000903,中证100,1,10.4821,1.2692,0.3932,0.1984,0.1211,0.0271,1653494400000,mid,1,https://danjuanapp.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.7831,False,0.8016,0.6068,05-26
436530,SH000300,沪深300,1,11.9526,1.3687,0.4344,0.1808,0.1145,0.0233,1653494400000,mid,1,https://danjuanapp.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.6906,False,0.8192,0.5656,05-26
436576,CSI931142,东证竞争,2,14.575,2.362,0.756,0.752,0.1621,0.0187,1653494400000,mid,1,https://danjuanapp.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1653559131684,1653559131684,0.6562,False,0.248,0.244,05-26
