id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,pb_over_history,pe_over_history,date,peg
486274,SZ399393,国证地产,3,0.0,0.7995,0.0,0.1208,0.0,0.0204,1746633600000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116873,1746699116873,True,0.8792,1.0,05-08,
486250,SZ399324,深证红利,2,13.308,1.9381,0.1124,0.2384,0.1456,0.0432,1746633600000,low,0,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116865,1746699116865,False,0.7616,0.8876,05-08,1.2558
486237,SZ399812,养老产业,3,13.9336,1.9445,0.0284,0.1072,0.1396,0.0246,1746633600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116861,1746699116861,False,0.8928,0.9716,05-08,1.9203
486249,CSIH11136,中国互联,3,17.4522,2.8504,0.0616,0.27,0.1633,0.0091,1746633600000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116865,1746699116865,False,0.73,0.9384,05-08,
486266,CSIH30533,中概互联50,3,18.6865,3.019,0.0688,0.2972,0.1616,0.0082,1746633600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116871,1746699116871,False,0.7028,0.9312,05-08,
486235,SZ399975,证券公司,3,18.9799,1.3515,0.2368,0.2396,0.0712,0.0159,1746633600000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116858,1746699116858,True,0.7604,0.7632,05-08,1.3491
486232,SZ399997,中证白酒,3,19.9392,5.129,0.1308,0.2328,0.2572,0.04,1746633600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116855,1746699116855,False,0.7672,0.8692,05-08,2.2147
486258,SH000932,主要消费,3,20.0208,4.288,0.0068,0.2272,0.2142,0.0339,1746633600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116868,1746699116868,False,0.7728,0.9932,05-08,1.8401
486283,CSIH30094,消费红利,2,20.4879,4.3906,0.0996,0.2536,0.2143,0.0393,1746633600000,low,0,,0.05,1421856000000,1746699116875,1746699116875,False,0.7464,0.9004,05-08,1.9074
486226,SZ399330,深证100,1,20.9707,2.2789,0.286,0.0812,0.1087,0.0256,1746633600000,low,0,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746699116853,1746699116853,False,0.9188,0.714,05-08,0.6658
