id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pe_over_history,pb_over_history
438650,SZ399986,中证银行,3,4.8469,0.5787,0.0953,0.0005,0.1194,0.0434,1657641600000,low,0,https://danjuanapp.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1657707924425,1657707924425,0.4876,True,07-13,0.9047,0.9995
438700,SH000015,上证红利,2,5.1148,0.6263,0.0016,0.0312,0.1224,0.0544,1657641600000,low,0,,0.05,1332950400000,1657707924425,1657707924425,0.601,False,07-13,0.9984,0.9688
438672,CSIH30269,红利低波,2,5.1633,0.6268,0.0168,0.0182,0.1214,0.0483,1657641600000,low,0,https://danjuanapp.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1657707924425,1657707924425,0.5507,False,07-13,0.9832,0.9818
438678,SPACEVCP,标普价值,2,5.2931,0.5353,0.015,0.0051,0.1011,0.0575,1657641600000,low,0,https://danjuanapp.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1657707924425,1657707924425,1.2281,False,07-13,0.985,0.9949
438673,CSPSADRP,标普红利,2,5.5175,0.6529,0.0504,0.022,0.1183,0.0533,1657641600000,low,0,https://danjuanapp.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1333036800000,1657707924425,1657707924425,0.5805,False,07-13,0.9496,0.978
438649,SH000922,中证红利,2,5.749,0.6846,0.006,0.0104,0.1191,0.0525,1657641600000,low,0,https://danjuanapp.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1333555200000,1657707924425,1657707924425,0.5818,False,07-13,0.994,0.9896
438690,CSI931157,红利成长LV,2,5.8453,0.6906,0.0596,0.042,0.1181,0.048,1657641600000,low,0,https://danjuanapp.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1333036800000,1657707924425,1657707924425,0.5235,False,07-13,0.9404,0.958
438696,CSI930740,300红利LV,2,6.2182,0.7292,0.0584,0.012,0.1173,0.042,1657641600000,low,0,https://danjuanapp.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1332345600000,1657707924425,1657707924425,0.6248,False,07-13,0.9416,0.988
438680,SH000919,300价值,2,6.8595,0.8149,0.1072,0.0144,0.1188,0.0439,1657641600000,low,0,https://danjuanapp.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1333555200000,1657707924425,1657707924425,0.6396,False,07-13,0.8928,0.9856
438665,SH000925,基本面50,2,7.6294,0.9057,0.1568,0.02,0.1187,0.0399,1657641600000,low,0,https://danjuanapp.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1333555200000,1657707924425,1657707924425,0.7285,False,07-13,0.8432,0.98
438677,CSI930949,神奇公式,2,7.8585,2.4261,0.0412,0.7432,0.3087,0.0387,1657641600000,low,0,https://danjuanapp.com/funding/006255?channel=1800100001&source=guzhi__web_20171001,0.05,1333555200000,1657707924425,1657707924425,0.4904,False,07-13,0.9588,0.2568
438668,HSFML25,香港大盘,1,8.1966,0.916,0.2108,0.044,0.1118,0.0354,1657641600000,low,0,https://danjuanapp.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1333555200000,1657707924425,1657707924425,0.9329,False,07-13,0.7892,0.956
438661,HKHSI,恒生指数,1,9.3961,0.9339,0.2736,0.0408,0.0994,0.0336,1657641600000,low,0,https://danjuanapp.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1333555200000,1657707924425,1657707924425,1.2912,False,07-13,0.7264,0.9592
438674,SPHCMSHP,香港中小,1,9.6491,0.9087,0.0561,0.0219,0.0942,0.0359,1657641600000,low,0,https://danjuanapp.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1657707924425,1657707924425,,False,07-13,0.9439,0.9781
438691,GDAXI,德国DAX,1,11.4197,1.4278,0.0005,0.0323,0.125,0.0361,1657641600000,low,0,https://danjuanapp.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1388592000000,1657707924425,1657707924425,,False,07-13,0.9995,0.9677
