id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
497720,SZ399393,国证地产,3,0.0,0.8542,0.0,0.1812,0.0,0.0118,1765209600000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276323889,1765276323889,True,5,0.8188,1.0,12-09,
497692,SZ399812,养老产业,3,12.4867,2.0622,0.008,0.1716,0.1652,0.0213,1765209600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276321824,1765276321824,False,5,0.8284,0.992,12-09,0.8161
497687,SZ399997,中证白酒,3,18.7622,4.6276,0.0684,0.1204,0.2466,0.0401,1765209600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276321387,1765276321387,False,5,0.8796,0.9316,12-09,25.1993
497729,CSIH30094,消费红利,2,19.2017,4.0249,0.0508,0.1408,0.2096,0.039,1765209600000,low,0,,0.05,1440518400000,1765276324549,1765276324549,False,5,0.8592,0.9492,12-09,5.3247
497705,SH000932,主要消费,3,19.2498,3.9312,0.0236,0.1416,0.2042,0.0363,1765209600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276322828,1765276322828,False,5,0.8584,0.9764,12-09,3.4273
497691,SZ399396,国证食品,3,20.6161,4.0715,0.0464,0.0604,0.1975,0.0362,1765209600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276321758,1765276321758,False,5,0.9396,0.9536,12-09,5.1232
497722,SZ399989,中证医疗,3,31.4847,3.3391,0.248,0.0508,0.1061,0.0154,1765209600000,low,0,,0.05,1440604800000,1765276324038,1765276324038,False,5,0.9492,0.752,12-09,1.4463
497690,SZ399975,证券公司,3,17.1855,1.4785,0.158,0.376,0.086,0.0149,1765209600000,mid,1,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276321658,1765276321658,True,5,0.624,0.842,12-09,0.6814
497699,CSIH11136,中国互联,3,19.5333,2.9142,0.15,0.3048,0.1492,0.0096,1765209600000,mid,1,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276322363,1765276322363,False,5,0.6952,0.85,12-09,
497713,CSIH30533,中概互联50,3,19.7033,2.9592,0.1384,0.3048,0.1502,0.009,1765209600000,mid,1,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276323405,1765276323405,False,5,0.6952,0.8616,12-09,
497693,SH000989,全指可选,3,21.8093,2.4062,0.2496,0.3296,0.1103,0.0246,1765209600000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276321930,1765276321930,False,5,0.6704,0.7504,12-09,1.1662
497711,SH000978,医药100,3,33.2699,3.1962,0.4112,0.122,0.0961,0.0157,1765209600000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1440604800000,1765276323254,1765276323254,False,5,0.878,0.5888,12-09,1.6401
