id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
468007,SZ399986,中证银行,3,5.1368,0.5678,0.27,0.1432,0.1105,0.0537,1711555200000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1387468800000,1711622343601,1711622343601,1.7367,True,0.8568,0.73,03-28
468034,SPACEVCP,标普价值,2,5.2887,0.5348,0.1228,0.114,0.1011,0.0576,1711555200000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1387468800000,1711622343601,1711622343601,1.2271,False,0.886,0.8772,03-28
468046,CSI931157,红利成长LV,2,5.8478,0.6231,0.0848,0.0364,0.1066,0.0501,1711555200000,low,0,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1711622343601,1711622343601,0.6231,False,0.9636,0.9152,03-28
468025,HSFML25,香港大盘,1,7.1809,0.7577,0.0612,0.0264,0.1055,0.0424,1711555200000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1387468800000,1711622343601,1711622343601,0.8173,False,0.9736,0.9388,03-28
468019,HKHSCEI,国企指数,1,7.4609,0.7537,0.2284,0.0388,0.101,0.0376,1711555200000,low,0,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1387468800000,1711622343601,1711622343601,1.2959,False,0.9612,0.7716,03-28
468002,SH000170,50AH优选,1,8.3883,0.9376,0.1025,0.0535,0.1118,0.0365,1711555200000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1711622343601,1711622343601,2.507,False,0.9465,0.8975,03-28
468018,HKHSI,恒生指数,1,8.474,0.8469,0.0788,0.0308,0.0999,0.0434,1711555200000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1387468800000,1711622343601,1711622343601,1.1645,False,0.9692,0.9212,03-28
468000,SH000300,沪深300,1,11.5128,1.2577,0.2368,0.0704,0.1092,0.0299,1711555200000,low,0,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1387468800000,1711622343601,1711622343601,1.3843,False,0.9296,0.7632,03-28
468008,SH000827,中证环保,3,16.0035,2.1862,0.0296,0.124,0.1366,0.0206,1711555200000,low,0,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1387468800000,1711622343601,1711622343601,1.4185,False,0.876,0.9704,03-28
468033,SZ399317,国证A指,1,16.1193,1.4393,0.286,0.0272,0.0893,0.0225,1711555200000,low,0,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1387468800000,1711622343601,1711622343601,1.271,False,0.9728,0.714,03-28
