id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pe_over_history,pb_over_history,peg
498122,SH000170,50AH优选,1,9.7663,1.1215,0.5872,0.5515,0.1148,0.0317,1765814400000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1765881120590,1765881120590,False,5,12-16,0.4128,0.4485,1.504
498139,SZ399550,央视50,2,9.9324,1.0385,0.7624,0.2552,0.1046,0.0444,1765814400000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1441123200000,1765881121972,1765881121972,False,5,12-16,0.2376,0.7448,1.8511
498110,HSFML25,香港大盘,1,10.0081,1.0216,0.7368,0.5184,0.1021,0.0321,1765728000000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1441123200000,1765848720816,1765848720816,False,5,12-15,0.2632,0.4816,1.139
498138,SH000925,基本面50,2,10.0396,1.0429,0.798,0.424,0.1039,0.0412,1765814400000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881121896,1765881121896,False,5,12-16,0.202,0.576,1.8934
498109,HKHSCEI,国企指数,1,10.4106,1.0633,0.8632,0.7692,0.1021,0.0308,1765728000000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1441123200000,1765848720719,1765848720719,False,5,12-15,0.1368,0.2308,1.8083
498119,SH000016,上证50,1,11.5162,1.2684,0.822,0.6396,0.1101,0.0365,1765814400000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881120351,1765881120351,False,5,12-16,0.178,0.3604,1.9467
498107,HKHSI,恒生指数,1,11.7632,1.1951,0.7624,0.7784,0.1016,0.0331,1765728000000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1441123200000,1765848720545,1765848720545,False,5,12-15,0.2376,0.2216,1.6165
498149,SH000010,上证180,1,11.863,1.2417,0.7616,0.4436,0.1047,0.0323,1765814400000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881122787,1765881122787,False,5,12-16,0.2384,0.5564,1.7627
498120,SH000300,沪深300,1,13.7674,1.4507,0.7788,0.4744,0.1054,0.0283,1765814400000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881120442,1765881120442,False,5,12-16,0.2212,0.5256,1.4663
498163,CSI716567,MSCI中国,1,14.2539,1.4773,0.7645,0.5724,0.1036,0.0271,1765814400000,high,2,,0.05,1508688000000,1765881123810,1765881123810,False,5,12-16,0.2355,0.4276,1.2786
498141,SZ399324,深证红利,2,15.396,2.4187,0.4432,0.7616,0.1571,0.041,1765814400000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881122148,1765881122148,False,5,12-16,0.5568,0.2384,1.7563
