id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
442429,SZ399986,中证银行,3,4.576,0.5541,0.0149,0.0009,0.1211,0.059,1659542400000,low,0,https://danjuanapp.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1659608456574,1659608456574,0.4601,True,0.9991,0.9851,08-04
442457,SPACEVCP,标普价值,2,4.868,0.4923,0.0,0.0,0.1011,0.0625,1659542400000,low,0,https://danjuanapp.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1659608456575,1659608456575,1.1295,False,1.0,1.0,08-04
442479,SH000015,上证红利,2,4.8895,0.6069,0.0004,0.0044,0.1241,0.0741,1659542400000,low,0,,0.05,1335283200000,1659608456575,1659608456575,0.5582,False,0.9956,0.9996,08-04
442451,CSIH30269,红利低波,2,4.9022,0.6032,0.0005,0.0005,0.123,0.0659,1659542400000,low,0,https://danjuanapp.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1659608456574,1659608456574,0.51,False,0.9995,0.9995,08-04
442452,CSPSADRP,标普红利,2,5.2392,0.6444,0.0176,0.014,0.123,0.0692,1659542400000,low,0,https://danjuanapp.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1335369600000,1659608456574,1659608456574,0.5635,False,0.986,0.9824,08-04
442428,SH000922,中证红利,2,5.4639,0.6583,0.0004,0.0004,0.1205,0.0666,1659542400000,low,0,https://danjuanapp.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1335456000000,1659608456574,1659608456574,0.5415,False,0.9996,0.9996,08-04
442469,CSI931157,红利成长LV,2,5.5449,0.6589,0.022,0.0216,0.1188,0.0513,1659542400000,low,0,https://danjuanapp.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1335369600000,1659608456575,1659608456575,0.4855,False,0.9784,0.978,08-04
442475,CSI930740,300红利LV,2,5.8619,0.6968,0.0008,0.0008,0.1189,0.0536,1659542400000,low,0,https://danjuanapp.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1334678400000,1659608456575,1659608456575,0.5902,False,0.9992,0.9992,08-04
442459,SH000919,300价值,2,6.4567,0.7752,0.0592,0.0008,0.1201,0.0522,1659542400000,low,0,https://danjuanapp.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1335456000000,1659608456575,1659608456575,0.5966,False,0.9992,0.9408,08-04
442444,SH000925,基本面50,2,7.1775,0.8616,0.134,0.0072,0.12,0.0477,1659542400000,low,0,https://danjuanapp.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1335456000000,1659608456574,1659608456574,0.6781,False,0.9928,0.866,08-04
442456,CSI930949,神奇公式,2,7.3641,2.2937,0.0176,0.6332,0.3115,0.042,1659542400000,low,0,https://danjuanapp.com/funding/006255?channel=1800100001&source=guzhi__web_20171001,0.05,1335456000000,1659608456575,1659608456575,0.4231,False,0.3668,0.9824,08-04
442447,HSFML25,香港大盘,1,7.9212,0.8852,0.1332,0.0168,0.1118,0.0367,1659542400000,low,0,https://danjuanapp.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1335456000000,1659608456574,1659608456574,0.9015,False,0.9832,0.8668,08-04
