id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pb_over_history,pe_over_history
457411,SPACEVCP,标普价值,2,4.3434,0.4392,0.0,0.0,0.1011,0.0701,1689868800000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1365955200000,1689933882675,1689933882675,1.0078,False,07-21,1.0,1.0
457384,SZ399986,中证银行,3,4.6551,0.5457,0.1082,0.0537,0.1172,0.0633,1689868800000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1689933882675,1689933882675,0.6276,True,07-21,0.9463,0.8918
457433,SH000015,上证红利,2,5.2879,0.6216,0.1084,0.0952,0.1176,0.0688,1689868800000,low,0,,0.05,1365609600000,1689933882676,1689933882676,0.9205,False,07-21,0.9048,0.8916
457406,CSIH30269,红利低波,2,5.5143,0.649,0.2218,0.1452,0.1177,0.0642,1689868800000,low,0,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1689933882675,1689933882675,0.8523,False,07-21,0.8548,0.7782
457383,SH000922,中证红利,2,5.7228,0.6558,0.076,0.0528,0.1146,0.0656,1689868800000,low,0,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1365955200000,1689933882675,1689933882675,0.7802,False,07-21,0.9472,0.924
457407,CSPSADRP,标普红利,2,5.7755,0.6838,0.1492,0.1536,0.1184,0.0628,1689868800000,low,0,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1365696000000,1689933882675,1689933882675,0.9185,False,07-21,0.8464,0.8508
457413,SH000919,300价值,2,7.0729,0.8155,0.2348,0.084,0.1153,0.0525,1689868800000,low,0,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1365955200000,1689933882675,1689933882675,0.8675,False,07-21,0.916,0.7652
457423,CSI931157,红利成长LV,2,7.1072,0.8295,0.16,0.118,0.1167,0.0402,1689868800000,low,0,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1365696000000,1689933882676,1689933882676,0.8692,False,07-21,0.882,0.84
457399,SH000925,基本面50,2,7.5561,0.8904,0.212,0.0864,0.1178,0.0517,1689868800000,low,0,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1365955200000,1689933882675,1689933882675,1.0137,False,07-21,0.9136,0.788
457402,HSFML25,香港大盘,1,7.6174,0.8486,0.082,0.0208,0.1114,0.0377,1689868800000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1365955200000,1689933882675,1689933882675,0.8669,False,07-21,0.9792,0.918
