id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
436985,SZ399986,中证银行,3,4.9582,0.5809,0.1062,0.0018,0.1172,0.0426,1654531200000,low,0,https://danjuanapp.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1654598105197,1654598105197,0.5022,True,0.9982,0.8938,06-07
437007,CSIH30269,红利低波,2,5.2776,0.6253,0.0398,0.0155,0.1185,0.0476,1654531200000,low,0,https://danjuanapp.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1654598105197,1654598105197,0.568,False,0.9845,0.9602,06-07
437035,SH000015,上证红利,2,5.2776,0.6288,0.0304,0.0368,0.1191,0.0515,1654531200000,low,0,,0.05,1329840000000,1654598105197,1654598105197,0.6331,False,0.9632,0.9696,06-07
437013,SPACEVCP,标普价值,2,5.5392,0.5601,0.0814,0.0467,0.1011,0.055,1654531200000,low,0,https://danjuanapp.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1654598105197,1654598105197,1.2852,False,0.9533,0.9186,06-07
437025,CSI931157,红利成长LV,2,5.6111,0.6171,0.0328,0.0056,0.11,0.0477,1654531200000,low,0,https://danjuanapp.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1329926400000,1654598105197,1654598105197,0.6088,False,0.9944,0.9672,06-07
437008,CSPSADRP,标普红利,2,5.6692,0.6536,0.0556,0.0224,0.1153,0.049,1654531200000,low,0,https://danjuanapp.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1329926400000,1654598105197,1654598105197,0.5994,False,0.9776,0.9444,06-07
436984,SH000922,中证红利,2,5.8644,0.6802,0.0216,0.006,0.116,0.0499,1654531200000,low,0,https://danjuanapp.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1330012800000,1654598105197,1654598105197,0.6027,False,0.994,0.9784,06-07
437031,CSI930740,300红利LV,2,6.4038,0.7138,0.0912,0.004,0.1115,0.0419,1654531200000,low,0,https://danjuanapp.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1329235200000,1654598105197,1654598105197,0.6208,False,0.996,0.9088,06-07
437015,SH000919,300价值,2,6.899,0.7875,0.1156,0.0072,0.1141,0.0393,1654531200000,low,0,https://danjuanapp.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1330012800000,1654598105197,1654598105197,0.5982,False,0.9928,0.8844,06-07
437000,SH000925,基本面50,2,7.5479,0.8649,0.1524,0.0076,0.1146,0.0371,1654531200000,low,0,https://danjuanapp.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1330012800000,1654598105197,1654598105197,0.6714,False,0.9924,0.8476,06-07
437012,CSI930949,神奇公式,2,7.7267,2.2732,0.0312,0.616,0.2942,0.0284,1654531200000,low,0,https://danjuanapp.com/funding/006255?channel=1800100001&source=guzhi__web_20171001,0.05,1330012800000,1654598105197,1654598105197,0.5494,False,0.384,0.9688,06-07
437009,SPHCMSHP,香港中小,1,9.751,0.9204,0.0585,0.0209,0.0944,0.0351,1654531200000,low,0,https://danjuanapp.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1654598105197,1654598105197,,False,0.9791,0.9415,06-07
437026,GDAXI,德国DAX,1,13.1017,1.6208,0.0454,0.3036,0.1237,0.0319,1654531200000,low,0,https://danjuanapp.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1388592000000,1654598105197,1654598105197,,False,0.6964,0.9546,06-07
