id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
476486,SZ399393,国证地产,3,0.0,0.5905,0.0,0.0016,0.0,0.0243,1725984000000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.5905,True,0.9984,1.0,09-11
476469,SPACEVCP,标普价值,2,4.9923,0.5048,0.04,0.04,0.1011,0.061,1725984000000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.1583,False,0.96,0.96,09-11
476442,SZ399986,中证银行,3,5.2337,0.5552,0.2368,0.12,0.1061,0.0558,1725984000000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,3.1249,True,0.88,0.7632,09-11
476465,CSPSADRP,标普红利,2,6.008,0.6648,0.2496,0.132,0.1107,0.0594,1725984000000,low,0,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1402329600000,1726052153132,1726052153132,5.2191,False,0.868,0.7504,09-11
476487,CSI930740,300红利LV,2,6.8818,0.7387,0.2048,0.106,0.1073,0.0486,1725984000000,low,0,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1401379200000,1726052153132,1726052153132,1.8857,False,0.894,0.7952,09-11
476460,HSFML25,香港大盘,1,6.9682,0.7133,0.0384,0.006,0.1024,0.0413,1725984000000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.793,False,0.994,0.9616,09-11
476454,HKHSCEI,国企指数,1,7.5194,0.7511,0.1976,0.0376,0.0999,0.0393,1725984000000,low,0,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.306,False,0.9624,0.8024,09-11
476457,SH000925,基本面50,2,7.9578,0.8458,0.2404,0.0504,0.1063,0.047,1725984000000,low,0,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.4767,False,0.9496,0.7596,09-11
476437,SH000170,50AH优选,1,7.9611,0.8441,0.0427,0.0009,0.106,0.0457,1725984000000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1726052153132,1726052153132,1.785,False,0.9991,0.9573,09-11
476458,SZ399550,央视50,2,7.9931,0.8926,0.154,0.0016,0.1117,0.0459,1725984000000,low,0,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1402329600000,1726052153132,1726052153132,1.9459,False,0.9984,0.846,09-11
476453,HKHSI,恒生指数,1,8.4165,0.8383,0.0704,0.026,0.0996,0.0451,1725984000000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.1566,False,0.974,0.9296,09-11
476434,SH000016,上证50,1,9.5448,1.043,0.2496,0.0092,0.1093,0.042,1725984000000,low,0,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.6582,False,0.9908,0.7504,09-11
476474,SH000010,上证180,1,9.7814,1.0297,0.2044,0.0104,0.1053,0.0368,1725984000000,low,0,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.3499,False,0.9896,0.7956,09-11
476435,SH000300,沪深300,1,10.8236,1.1531,0.0956,0.0008,0.1065,0.0342,1725984000000,low,0,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.1823,False,0.9992,0.9044,09-11
476489,CSI716567,MSCI中国,1,11.0261,1.1614,0.0882,0.0,0.1053,0.0333,1725984000000,low,0,,0.05,1508688000000,1726052153132,1726052153132,1.1048,False,1.0,0.9118,09-11
476462,SZ399324,深证红利,2,12.1922,1.3055,0.0304,0.0,0.1071,0.0428,1725984000000,low,0,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.1272,False,1.0,0.9696,09-11
476479,SPCQVCP,标普质量,2,12.7524,2.264,0.1844,0.1668,0.1694,0.0169,1725984000000,low,0,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.488,False,0.8332,0.8156,09-11
476468,SZ399317,国证A指,1,14.6697,1.2755,0.0992,0.0004,0.0869,0.0269,1725984000000,low,0,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.9805,False,0.9996,0.9008,09-11
476449,SZ399812,养老产业,3,16.289,1.7164,0.0004,0.0008,0.1054,0.0265,1725984000000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.6363,False,0.9992,0.9996,09-11
476473,SZ399702,基本面120,2,16.3138,1.6246,0.1092,0.0048,0.0996,0.0292,1725984000000,low,0,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.7676,False,0.9952,0.8908,09-11
476472,SZ399701,基本面60,2,16.4352,1.6932,0.2176,0.0244,0.103,0.0304,1725984000000,low,0,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.7356,False,0.9756,0.7824,09-11
476450,SH000989,全指可选,3,16.4667,2.061,0.0332,0.156,0.1252,0.0284,1725984000000,low,0,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.742,False,0.844,0.9668,09-11
476461,CSIH11136,中国互联,3,16.6565,2.2503,0.0196,0.0316,0.1351,0.0145,1725984000000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,,False,0.9684,0.9804,09-11
476478,CSIH30533,中概互联50,3,16.8859,2.2617,0.0216,0.0427,0.1339,0.0138,1725984000000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1726052153132,1726052153132,,False,0.9573,0.9784,09-11
476495,CSIH30094,消费红利,2,17.319,4.1147,0.0456,0.2628,0.2376,0.0401,1725984000000,low,0,,0.05,1402329600000,1726052153132,1726052153132,1.243,False,0.7372,0.9544,09-11
476444,SZ399997,中证白酒,3,17.5239,5.1396,0.0136,0.2462,0.2933,0.0373,1725984000000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1726052153132,1726052153132,1.0863,False,0.7538,0.9864,09-11
476438,SZ399330,深证100,1,17.5541,2.0203,0.0904,0.0152,0.1151,0.0266,1725984000000,low,0,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.8758,False,0.9848,0.9096,09-11
476448,SZ399396,食品饮料,3,18.2281,4.1774,0.014,0.1516,0.2292,0.036,1725984000000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,1.2331,False,0.8484,0.986,09-11
476475,SZ399001,深证成指,1,19.6147,1.7743,0.1324,0.0056,0.0905,0.0233,1725984000000,low,0,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726052153132,1726052153132,0.7781,False,0.9944,0.8676,09-11
