id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
476927,SZ399393,国证地产,3,0.0,0.6488,0.0,0.0336,0.0,0.0224,1727107200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1403193600000,1727172082642,1727172082642,0.6488,True,0.9664,1.0,09-24
476910,SPACEVCP,标普价值,2,5.2643,0.5323,0.1176,0.1072,0.1011,0.0578,1727107200000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1403193600000,1727172082642,1727172082642,1.2214,False,0.8928,0.8824,09-24
476901,HSFML25,香港大盘,1,7.7382,0.7921,0.158,0.0844,0.1024,0.0391,1727107200000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1403193600000,1727172082642,1727172082642,0.8807,False,0.9156,0.842,09-24
476878,SH000170,50AH优选,1,8.7158,0.9238,0.2506,0.0626,0.106,0.0422,1727107200000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1727172082642,1727172082642,1.8938,False,0.9374,0.7494,09-24
476894,HKHSI,恒生指数,1,9.333,0.9295,0.2972,0.1836,0.0996,0.0419,1727107200000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1403193600000,1727172082642,1727172082642,1.2825,False,0.8164,0.7028,09-24
476876,SH000300,沪深300,1,11.4728,1.2232,0.1936,0.0328,0.1066,0.0325,1727107200000,low,0,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1403193600000,1727172082642,1727172082642,1.2676,False,0.9672,0.8064,09-24
476930,CSI716567,MSCI中国,1,11.6774,1.2311,0.2433,0.0374,0.1054,0.0316,1727107200000,low,0,,0.05,1508688000000,1727172082642,1727172082642,1.1787,False,0.9626,0.7567,09-24
476920,SPCQVCP,标普质量,2,12.9022,2.2906,0.1916,0.1768,0.1694,0.0171,1727107200000,low,0,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1403193600000,1727172082642,1727172082642,1.5055,False,0.8232,0.8084,09-24
476903,SZ399324,深证红利,2,13.0932,1.3893,0.1288,0.0076,0.1061,0.0397,1727107200000,low,0,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1403193600000,1727172082642,1727172082642,1.2267,False,0.9924,0.8712,09-24
476909,SZ399317,国证A指,1,15.4006,1.34,0.148,0.01,0.087,0.0258,1727107200000,low,0,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1403193600000,1727172082642,1727172082642,1.0458,False,0.99,0.852,09-24
