id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pb_over_history,pe_over_history
451190,SZ399986,中证银行,3,4.5307,0.5348,0.0307,0.0235,0.118,0.0568,1677513600000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1677578964026,1677578964026,0.5461,True,02-28,0.9765,0.9693
451212,CSIH30269,红利低波,2,4.9373,0.5915,0.0398,0.0366,0.1198,0.069,1677513600000,low,0,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1677578964026,1677578964026,0.6111,False,02-28,0.9634,0.9602
451239,SH000015,上证红利,2,4.942,0.5915,0.0348,0.0316,0.1197,0.0706,1677513600000,low,0,,0.05,1352736000000,1677578964026,1677578964026,0.7624,False,02-28,0.9684,0.9652
451213,CSPSADRP,标普红利,2,5.1254,0.6222,0.0144,0.016,0.1214,0.068,1677513600000,low,0,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1352822400000,1677578964026,1677578964026,0.6767,False,02-28,0.984,0.9856
451217,SPACEVCP,标普价值,2,5.3508,0.5411,0.0828,0.0699,0.1011,0.0569,1677513600000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1677578964026,1677578964026,1.2415,False,02-28,0.9301,0.9172
451189,SH000922,中证红利,2,5.449,0.6391,0.028,0.0296,0.1173,0.0641,1677513600000,low,0,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,0.7874,False,02-28,0.9704,0.972
451235,CSI930740,300红利LV,2,5.8032,0.6531,0.026,0.0196,0.1125,0.0542,1677513600000,low,0,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1352131200000,1677578964026,1677578964026,0.8579,False,02-28,0.9804,0.974
451219,SH000919,300价值,2,6.8203,0.7969,0.1588,0.0656,0.1168,0.0514,1677513600000,low,0,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,0.9357,False,02-28,0.9344,0.8412
451229,CSI931157,红利成长LV,2,7.1072,0.8295,0.1736,0.126,0.1167,0.0402,1677513600000,low,0,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1352822400000,1677578964026,1677578964026,0.8692,False,02-28,0.874,0.8264
451205,SH000925,基本面50,2,7.5342,0.8747,0.2064,0.0588,0.1161,0.0474,1677513600000,low,0,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,0.9214,False,02-28,0.9412,0.7936
451206,SZ399550,央视50,2,8.108,1.0201,0.2908,0.0352,0.1258,0.0414,1677513600000,low,0,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1352822400000,1677578964026,1677578964026,0.9633,False,02-28,0.9648,0.7092
451208,HSFML25,香港大盘,1,8.1918,0.9416,0.2504,0.116,0.1149,0.0396,1677513600000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,0.9323,False,02-28,0.884,0.7496
451222,SH000010,上证180,1,9.5299,1.1519,0.224,0.0976,0.1209,0.0338,1677513600000,low,0,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,0.8472,False,02-28,0.9024,0.776
451228,CSI931142,东证竞争,2,10.9267,1.7496,0.1756,0.0956,0.1601,0.0271,1677513600000,low,0,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,0.8875,False,02-28,0.9044,0.8244
451230,GDAXI,德国DAX,1,13.1453,1.5545,0.0898,0.2172,0.1183,0.0324,1677513600000,low,0,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1388592000000,1677578964026,1677578964026,,False,02-28,0.7828,0.9102
451193,SZ399998,中证煤炭,3,6.7245,1.4372,0.0301,0.737,0.2137,0.0626,1677513600000,mid,1,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1423756800000,1677578964026,1677578964026,,True,02-28,0.263,0.9699
451202,HKHSCEI,国企指数,1,8.4065,0.8584,0.4656,0.118,0.1021,0.0342,1677513600000,mid,1,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,1.4601,False,02-28,0.882,0.5344
451185,SH000170,50AH优选,1,9.0409,1.1903,0.3052,0.6424,0.1317,0.0319,1677513600000,mid,1,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1677578964026,1677578964026,1.0759,False,02-28,0.3576,0.6948
451201,HKHSI,恒生指数,1,9.6753,0.982,0.3808,0.1512,0.1015,0.0368,1677513600000,mid,1,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,1.3296,False,02-28,0.8488,0.6192
451182,SH000016,上证50,1,9.7119,1.2848,0.418,0.588,0.1323,0.0381,1677513600000,mid,1,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,1.1445,False,02-28,0.412,0.582
451183,SH000300,沪深300,1,11.9036,1.4016,0.3904,0.274,0.1177,0.0271,1677513600000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,0.9061,False,02-28,0.726,0.6096
451237,CSI716567,MSCI中国,1,12.4059,1.4667,0.4032,0.3856,0.1182,0.0256,1677513600000,mid,1,,0.05,1508688000000,1677578964026,1677578964026,0.827,False,02-28,0.6144,0.5968
451207,SH000903,中证100,1,12.7666,1.7389,0.812,0.9208,0.1362,0.0294,1677513600000,mid,1,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1352908800000,1677578964026,1677578964026,1.055,False,02-28,0.0792,0.188
