id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
490051,SZ399393,国证地产,3,0.0,0.8034,0.0,0.1384,0.0,0.0205,1751385600000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452324008,1751452324008,True,5,0.8616,1.0,07-02,
490023,SZ399812,养老产业,3,14.5375,2.1074,0.05,0.1832,0.145,0.0259,1751385600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452321938,1751452321938,False,5,0.8168,0.95,07-02,2.1426
490030,CSIH11136,中国互联,3,16.1712,2.6858,0.0196,0.2196,0.1661,0.011,1751385600000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452322465,1751452322465,False,5,0.7804,0.9804,07-02,
490044,CSIH30533,中概互联50,3,17.508,2.8692,0.0512,0.2748,0.1639,0.0097,1751385600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452323530,1751452323530,False,5,0.7252,0.9488,07-02,
490018,SZ399997,中证白酒,3,17.7835,4.9082,0.0092,0.2072,0.276,0.0424,1751385600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452321520,1751452321520,False,5,0.7928,0.9908,07-02,2.1316
490036,SH000932,主要消费,3,18.6749,4.2232,0.0016,0.2052,0.2261,0.0361,1751385600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452322915,1751452322915,False,5,0.7948,0.9984,07-02,1.821
490060,CSIH30094,消费红利,2,18.7664,4.3235,0.0196,0.228,0.2304,0.041,1751385600000,low,0,,0.05,1427126400000,1751452324647,1751452324647,False,5,0.772,0.9804,07-02,1.823
490022,SZ399396,国证食品,3,20.4431,4.3834,0.0308,0.1332,0.2144,0.0369,1751385600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452321848,1751452321848,False,5,0.8668,0.9692,07-02,1.9437
490053,SZ399989,中证医疗,3,30.4541,3.4272,0.1984,0.0592,0.1125,0.0177,1751385600000,low,0,,0.05,1427212800000,1751452324182,1751452324182,False,5,0.9408,0.8016,07-02,1.1413
490014,SZ399006,创业板,1,31.8947,4.0018,0.182,0.1904,0.1255,0.0132,1751385600000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452321138,1751452321138,False,5,0.8096,0.818,07-02,0.8959
490009,SH000300,沪深300,1,13.1225,1.367,0.6512,0.2848,0.1042,0.0322,1751385600000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452320724,1751452320724,False,5,0.7152,0.3488,07-02,1.4546
490031,SZ399324,深证红利,2,14.1575,2.3161,0.216,0.6528,0.1636,0.0436,1751385600000,mid,1,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452322536,1751452322536,False,5,0.3472,0.784,07-02,1.1758
490039,SZ399702,基本面120,2,20.8445,2.0387,0.5772,0.2684,0.0978,0.0273,1751385600000,mid,1,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452323151,1751452323151,False,5,0.7316,0.4228,07-02,0.6639
490059,HKHSSCNE,新经济,2,21.5866,3.1029,0.293,0.6696,0.1437,0.0107,1751385600000,mid,1,,0.05,1542729600000,1751452324598,1751452324598,False,5,0.3304,0.707,07-02,
490012,SZ399330,深证100,1,22.4163,2.523,0.4968,0.2184,0.1126,0.024,1751385600000,mid,1,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452320994,1751452320994,False,5,0.7816,0.5032,07-02,0.7672
490041,SZ399001,深证成指,1,26.534,2.321,0.5088,0.2152,0.0875,0.0195,1751385600000,mid,1,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452323297,1751452323297,False,5,0.7848,0.4912,07-02,0.709
490057,CSI931079,5G通讯,3,28.2751,3.3446,0.275,0.4139,0.1183,0.0136,1751385600000,mid,1,,0.05,1556553600000,1751452324508,1751452324508,False,5,0.5861,0.725,07-02,0.7702
490017,SH000827,中证环保,3,31.8555,2.2023,0.66,0.2008,0.0691,0.0204,1751385600000,mid,1,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452321439,1751452321439,False,5,0.7992,0.34,07-02,0.5453
490042,SH000978,医药100,3,32.9525,3.1697,0.3924,0.11,0.0962,0.0174,1751385600000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452323384,1751452323384,False,5,0.89,0.6076,07-02,1.2787
490025,SH000991,全指医药,3,33.4141,3.1527,0.3904,0.1252,0.0944,0.0173,1751385600000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452322081,1751452322081,False,5,0.8748,0.6096,07-02,1.2548
490050,SZ399971,中证传媒,3,36.8484,2.266,0.5464,0.2808,0.0615,0.0158,1751385600000,mid,1,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452323934,1751452323934,False,5,0.7192,0.4536,07-02,0.7811
490013,SH000852,中证1000,1,38.7078,2.145,0.5212,0.2512,0.0554,0.0134,1751385600000,mid,1,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452321066,1751452321066,False,5,0.7488,0.4788,07-02,0.8458
490047,CSI931087,科技龙头,3,39.3906,4.3571,0.5311,0.2823,0.1106,0.0106,1751385600000,mid,1,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1751452323733,1751452323733,False,5,0.7177,0.4689,07-02,1.0563
490001,SPACEVCP,标普价值,2,6.9363,0.7647,0.63,0.6108,0.1102,0.0445,1751385600000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1427299200000,1751452320043,1751452320043,False,5,0.3892,0.37,07-02,1.6093
490016,SZ399986,中证银行,3,7.3718,0.7289,0.942,0.4528,0.0989,0.0503,1751385600000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452321343,1751452321343,True,5,0.5472,0.058,07-02,3.3059
490048,CSPSADRP,标普红利,2,7.9106,0.8168,0.8044,0.5084,0.1033,0.0533,1751385600000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1427126400000,1751452323789,1751452323789,False,5,0.4916,0.1956,07-02,3.8067
490056,SH000015,上证红利,2,7.9361,0.7829,0.7768,0.5052,0.0987,0.0553,1751385600000,high,2,,0.05,1427040000000,1751452324417,1751452324417,False,5,0.4948,0.2232,07-02,7.1193
490015,SH000922,中证红利,2,8.2025,0.8085,0.6728,0.3872,0.0986,0.0549,1751385600000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452321248,1751452321248,False,5,0.6128,0.3272,07-02,3.6477
490033,CSIH30269,红利低波,2,8.3235,0.8497,0.7504,0.524,0.1021,0.0524,1751385600000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452322692,1751452322692,False,5,0.476,0.2496,07-02,3.107
490046,CSI931157,红利成长LV,2,8.7863,0.898,0.8328,0.6536,0.1022,0.0582,1751385600000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1751452323669,1751452323669,False,5,0.3464,0.1672,07-02,1.8046
490037,SH000919,300价值,2,9.1088,0.9424,0.7248,0.4604,0.1035,0.0461,1751385600000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452323009,1751452323009,False,5,0.5396,0.2752,07-02,2.7668
490052,CSI930740,300红利LV,2,9.3683,0.9483,0.8776,0.5408,0.1012,0.0471,1751385600000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1426435200000,1751452324113,1751452324113,False,5,0.4592,0.1224,07-02,2.9869
490007,HSFML25,香港大盘,1,9.5762,0.9903,0.6604,0.4168,0.1034,0.039,1751385600000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452320541,1751452320541,False,5,0.5832,0.3396,07-02,1.0898
490006,HKHSCEI,国企指数,1,9.9079,1.0333,0.838,0.7276,0.1043,0.0373,1751385600000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452320453,1751452320453,False,5,0.2724,0.162,07-02,1.721
490011,SH000170,50AH优选,1,10.1019,1.0919,0.6979,0.5017,0.1081,0.0424,1751385600000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1751452320905,1751452320905,False,5,0.4983,0.3021,07-02,1.6893
490027,SH000925,基本面50,2,10.1077,1.0496,0.8096,0.422,0.1038,0.0453,1751385600000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452322241,1751452322241,False,5,0.578,0.1904,07-02,2.0917
490028,SZ399550,央视50,2,10.2829,1.0657,0.8432,0.2912,0.1036,0.0486,1751385600000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1427126400000,1751452322325,1751452322325,False,5,0.7088,0.1568,07-02,1.7391
490005,HKHSI,恒生指数,1,10.7654,1.1314,0.65,0.6664,0.1051,0.0392,1751385600000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1427212800000,1751452320383,1751452320383,False,5,0.3336,0.35,07-02,1.4794
