id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
511488,SZ399393,国证地产,3,0.0,0.7248,0.0,0.0744,0.0,0.0167,1782835200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901923891,1782901923891,True,5,0.9256,1.0,07-01,
511450,SH000170,50AH优选,1,4.1338,0.4335,0.0004,0.0004,0.1049,0.0382,1782835200000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901920544,1782901920544,False,5,0.9996,0.9996,07-01,1.8155
511462,SZ399812,养老产业,3,11.1416,1.7254,0.0108,0.0172,0.1549,0.0251,1782835200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901921573,1782901921573,False,5,0.9828,0.9892,07-01,1.2388
511481,CSIH30533,中概互联50,3,14.8256,1.9192,0.002,0.004,0.1295,0.0116,1782835200000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901923269,1782901923269,False,5,0.996,0.998,07-01,
511439,CSIH11136,中国互联,3,14.8988,1.9252,0.0028,0.004,0.1292,0.0123,1782748800000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782869521005,1782869521005,False,5,0.996,0.9972,06-30,
511515,CSIH30094,消费红利,2,17.373,3.2896,0.0048,0.0036,0.1894,0.0469,1782835200000,low,0,,0.05,1458144000000,1782919921639,1782919921639,False,5,0.9964,0.9952,07-01,1.8433
511457,SZ399997,中证白酒,3,18.0826,3.7724,0.0284,0.0108,0.2086,0.0477,1782835200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901921185,1782901921185,False,5,0.9892,0.9716,07-01,1.9768
511510,SH000932,主要消费,3,19.147,3.2386,0.0296,0.0044,0.1691,0.042,1782835200000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782919921002,1782919921002,False,5,0.9956,0.9704,07-01,1.366
511506,SZ399396,国证食品,3,19.3406,3.3789,0.0132,0.0044,0.1747,0.0424,1782835200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782919920587,1782919920587,False,5,0.9956,0.9868,07-01,1.7236
511463,SH000989,全指可选,3,20.6424,2.0869,0.1892,0.1744,0.1011,0.0267,1782835200000,low,0,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901921684,1782901921684,False,5,0.8256,0.8108,07-01,0.7318
511444,HKHSSCNE,新经济,2,21.2109,2.4908,0.2251,0.2755,0.1174,0.0105,1782748800000,low,0,,0.05,1542729600000,1782869521784,1782869521784,False,5,0.7245,0.7749,06-30,
511497,HKHSTECH,恒生科技,3,21.8993,2.4522,0.2392,0.2538,0.112,0.0102,1782835200000,low,0,,0.05,1595779200000,1782901924570,1782901924570,False,5,0.7462,0.7608,07-01,
511490,SZ399989,中证医疗,3,28.4635,3.2072,0.124,0.0388,0.1127,0.0141,1782835200000,low,0,,0.05,1458230400000,1782901924077,1782901924077,False,5,0.9612,0.876,07-01,1.3767
511455,SZ399986,中证银行,3,6.4594,0.6155,0.602,0.2436,0.0953,0.0522,1782835200000,mid,1,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901921004,1782901921004,True,5,0.7564,0.398,07-01,2.0196
511454,SH000922,中证红利,2,7.7126,0.7462,0.5056,0.2716,0.0968,0.0532,1782835200000,mid,1,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901920915,1782901920915,False,5,0.7284,0.4944,07-01,1.285
511489,CSI930740,300红利LV,2,8.2243,0.794,0.5836,0.204,0.0965,0.0494,1782835200000,mid,1,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1457452800000,1782901923983,1782901923983,False,5,0.796,0.4164,07-01,2.7035
511474,SH000919,300价值,2,8.392,0.8341,0.4604,0.1712,0.0994,0.0463,1782835200000,mid,1,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901922679,1782901922679,False,5,0.8288,0.5396,07-01,1.3374
511438,HSFML25,香港大盘,1,8.6733,0.872,0.386,0.172,0.1005,0.0306,1782748800000,mid,1,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782869520646,1782869520646,False,5,0.828,0.614,06-30,0.9871
511466,SH000925,基本面50,2,9.085,0.9363,0.4996,0.2588,0.1031,0.044,1782835200000,mid,1,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901922030,1782901922030,False,5,0.7412,0.5004,07-01,1.191
511437,HKHSCEI,国企指数,1,9.1002,0.88,0.632,0.2928,0.0967,0.0295,1782748800000,mid,1,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782869520552,1782869520552,False,5,0.7072,0.368,06-30,1.5807
511508,SZ399550,央视50,2,9.6499,0.9611,0.646,0.0724,0.0996,0.0442,1782835200000,mid,1,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782919920780,1782919920780,False,5,0.9276,0.354,07-01,1.315
511460,SZ399975,证券公司,3,16.193,1.3956,0.1068,0.3368,0.0862,0.0182,1782835200000,mid,1,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901921424,1782901921424,True,5,0.6632,0.8932,07-01,1.159
511464,SH000991,全指医药,3,31.8752,2.9838,0.3488,0.0652,0.0936,0.018,1782835200000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901921772,1782901921772,False,5,0.9348,0.6512,07-01,1.0936
511479,SH000978,医药100,3,32.3568,3.0643,0.396,0.082,0.0947,0.0176,1782835200000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901923088,1782901923088,False,5,0.918,0.604,07-01,1.1
511487,SZ399971,中证传媒,3,33.5431,2.2126,0.3992,0.252,0.066,0.0191,1782835200000,mid,1,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901923807,1782901923807,False,5,0.748,0.6008,07-01,0.7151
511445,SPACEVCP,标普价值,2,6.5815,0.7249,0.5544,0.5544,0.1101,0.0471,1782835200000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1458489600000,1782901920094,1782901920094,False,5,0.4456,0.4456,07-01,1.527
511513,CSI931157,红利成长LV,2,7.342,0.7875,0.4168,0.3398,0.1073,0.0458,1782835200000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1782919921349,1782919921349,False,5,0.6602,0.5832,07-01,1.2401
511471,CSIH30269,红利低波,2,7.5594,0.7666,0.6768,0.4052,0.1014,0.0533,1782835200000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1458230400000,1782901922425,1782901922425,False,5,0.5948,0.3232,07-01,1.6974
511493,SH000015,上证红利,2,7.8405,0.7467,0.7336,0.4388,0.0952,0.0528,1782835200000,high,2,,0.05,1458057600000,1782901924311,1782901924311,False,5,0.5612,0.2664,07-01,1.361
511485,CSPSADRP,标普红利,2,8.4682,0.8765,0.8352,0.5356,0.1035,0.0509,1782835200000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1458144000000,1782901923558,1782901923558,False,5,0.4644,0.1648,07-01,1.6631
