id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,pb_over_history,pe_over_history,date,peg
486147,SZ399393,国证地产,3,0.0,0.7959,0.0,0.1168,0.0,0.0205,1746460800000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114901,1746526114901,True,0.8832,1.0,05-06,
486120,SZ399324,深证红利,2,13.2416,1.9284,0.1028,0.232,0.1456,0.0434,1746460800000,low,0,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114858,1746526114858,False,0.768,0.8972,05-06,1.2298
486107,SZ399812,养老产业,3,13.7417,1.9177,0.0228,0.0892,0.1396,0.0248,1746460800000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114851,1746526114851,False,0.9108,0.9772,05-06,1.8753
486119,CSIH11136,中国互联,3,17.5279,2.8627,0.0624,0.2712,0.1633,0.0091,1746460800000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114857,1746526114857,False,0.7288,0.9376,05-06,
486105,SZ399975,证券公司,3,18.7943,1.3383,0.2256,0.2272,0.0712,0.0161,1746460800000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114850,1746526114850,True,0.7728,0.7744,05-06,1.3412
486102,SZ399997,中证白酒,3,19.6333,5.0503,0.1076,0.2268,0.2572,0.0407,1746460800000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114849,1746526114849,False,0.7732,0.8924,05-06,2.1329
486131,SH000932,主要消费,3,19.8357,4.2484,0.004,0.2212,0.2142,0.0342,1746460800000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114863,1746526114863,False,0.7788,0.996,05-06,1.8172
486156,CSIH30094,消费红利,2,20.2382,4.3371,0.086,0.2376,0.2143,0.0398,1746460800000,low,0,,0.05,1421683200000,1746526114909,1746526114909,False,0.7624,0.914,05-06,1.8536
486108,SH000989,全指可选,3,20.6974,2.3428,0.184,0.2956,0.1132,0.0231,1746460800000,low,0,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114851,1746526114851,False,0.7044,0.816,05-06,0.7468
486096,SZ399330,深证100,1,20.7252,2.2522,0.254,0.0668,0.1087,0.0259,1746460800000,low,0,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114846,1746526114846,False,0.9332,0.746,05-06,0.6479
486106,SZ399396,国证食品,3,21.969,4.3769,0.0876,0.1372,0.1992,0.0362,1746460800000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114851,1746526114851,False,0.8628,0.9124,05-06,1.9568
486153,CSI931079,5G通讯,3,25.4682,2.9678,0.1111,0.1653,0.1165,0.014,1746460800000,low,0,,0.05,1556553600000,1746526114906,1746526114906,False,0.8347,0.8889,05-06,0.6534
486098,SZ399006,创业板,1,29.6856,3.6513,0.1308,0.1196,0.123,0.0138,1746460800000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114847,1746526114847,False,0.8804,0.8692,05-06,0.7495
486149,SZ399989,中证医疗,3,30.3246,3.1728,0.1876,0.0148,0.1046,0.018,1746460800000,low,0,,0.05,1421769600000,1746526114903,1746526114903,False,0.9852,0.8124,05-06,0.9929
486145,SZ399610,TMT50,3,31.229,3.2538,0.2628,0.23,0.1042,0.0137,1746460800000,low,0,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1467561600000,1746526114899,1746526114899,False,0.77,0.7372,05-06,0.6991
486099,SH000922,中证红利,2,7.3952,0.7373,0.4232,0.2504,0.0997,0.0653,1746460800000,mid,1,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114847,1746526114847,False,0.7496,0.5768,05-06,3.0768
486132,SH000919,300价值,2,8.4296,0.8753,0.4932,0.276,0.1038,0.0533,1746460800000,mid,1,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114864,1746526114864,False,0.724,0.5068,05-06,2.3453
486115,SH000925,基本面50,2,8.887,0.9178,0.4548,0.2232,0.1033,0.0517,1746460800000,mid,1,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114855,1746526114855,False,0.7768,0.5452,05-06,1.9543
486095,SH000170,50AH优选,1,9.2599,1.0122,0.4785,0.2404,0.1093,0.0414,1746460800000,mid,1,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1746526114846,1746526114846,False,0.7596,0.5215,05-06,2.8624
486092,SH000016,上证50,1,10.68,1.1708,0.6332,0.2428,0.1096,0.0444,1746460800000,mid,1,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114845,1746526114845,False,0.7572,0.3668,05-06,2.4345
486135,SH000010,上证180,1,10.8657,1.1307,0.496,0.1404,0.1041,0.0395,1746460800000,mid,1,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114866,1746526114866,False,0.8596,0.504,05-06,1.7893
486093,SH000300,沪深300,1,12.2957,1.2819,0.4476,0.1064,0.1043,0.0356,1746460800000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114845,1746526114845,False,0.8936,0.5524,05-06,1.2791
486150,CSI716567,MSCI中国,1,12.5836,1.2934,0.5191,0.1361,0.1028,0.0344,1746460800000,mid,1,,0.05,1508688000000,1746526114904,1746526114904,False,0.8639,0.4809,05-06,1.1288
486129,SZ399317,国证A指,1,18.3978,1.5179,0.5948,0.1512,0.0825,0.0254,1746460800000,mid,1,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114862,1746526114862,False,0.8488,0.4052,05-06,1.1225
486139,CSIH30533,中概互联50,3,18.7875,3.0354,0.0708,0.3004,0.1616,0.0082,1746460800000,mid,1,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1746526114869,1746526114869,False,0.6996,0.9292,05-06,
