id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
438970,SZ399986,中证银行,3,4.7377,0.5726,0.0719,0.0018,0.1209,0.06,1658246400000,low,0,https://danjuanapp.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1658311969225,1658311969225,0.4762,True,0.9982,0.9281,07-20
439020,SH000015,上证红利,2,5.0381,0.6244,0.0012,0.03,0.1239,0.0733,1658246400000,low,0,,0.05,1333987200000,1658311969225,1658311969225,0.5791,False,0.97,0.9988,07-20
438992,CSIH30269,红利低波,2,5.0718,0.6223,0.0024,0.0143,0.1227,0.0623,1658246400000,low,0,https://danjuanapp.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1658311969225,1658311969225,0.5296,False,0.9857,0.9976,07-20
438998,SPACEVCP,标普价值,2,5.1595,0.5217,0.0034,0.0013,0.1011,0.059,1658246400000,low,0,https://danjuanapp.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1658311969225,1658311969225,1.1971,False,0.9987,0.9966,07-20
438993,CSPSADRP,标普红利,2,5.4275,0.6485,0.046,0.016,0.1195,0.0661,1658246400000,low,0,https://danjuanapp.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1334073600000,1658311969225,1658311969225,0.5667,False,0.984,0.954,07-20
438969,SH000922,中证红利,2,5.649,0.6799,0.0024,0.0076,0.1204,0.0645,1658246400000,low,0,https://danjuanapp.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1334160000000,1658311969225,1658311969225,0.5622,False,0.9924,0.9976,07-20
439010,CSI931157,红利成长LV,2,5.7559,0.6828,0.0536,0.0408,0.1186,0.0475,1658246400000,low,0,https://danjuanapp.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1334073600000,1658311969225,1658311969225,0.5109,False,0.9592,0.9464,07-20
439016,CSI930740,300红利LV,2,6.0868,0.722,0.028,0.0116,0.1186,0.0522,1658246400000,low,0,https://danjuanapp.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1332950400000,1658311969225,1658311969225,0.6118,False,0.9884,0.972,07-20
439000,SH000919,300价值,2,6.7419,0.8083,0.0924,0.0144,0.1199,0.0508,1658246400000,low,0,https://danjuanapp.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1334160000000,1658311969225,1658311969225,0.6239,False,0.9856,0.9076,07-20
438985,SH000925,基本面50,2,7.487,0.8977,0.1476,0.0184,0.1199,0.0465,1658246400000,low,0,https://danjuanapp.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1334160000000,1658311969225,1658311969225,0.7112,False,0.9816,0.8524,07-20
