id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
510169,SZ399393,国证地产,3,0.0,0.7811,0.0,0.1124,0.0,0.013,1781020800000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781087523467,1781087523467,True,5,06-10,0.8876,1.0,
510189,SZ399812,养老产业,3,10.8094,1.631,0.002,0.0028,0.1509,0.0324,1781020800000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105520841,1781105520841,False,5,06-10,0.9972,0.998,1.0607
510188,SZ399975,证券公司,3,14.0895,1.2086,0.0384,0.0752,0.0858,0.0204,1781020800000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105520757,1781105520757,True,5,06-10,0.9248,0.9616,1.0075
510104,CSIH11136,中国互联,3,16.3484,2.1219,0.0344,0.0096,0.1298,0.0128,1780934400000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1456416000000,1781055122029,1781055122029,False,5,06-09,0.9904,0.9656,
510162,CSIH30533,中概互联50,3,16.4974,2.1446,0.0216,0.0148,0.13,0.0139,1781020800000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781087522918,1781087522918,False,5,06-10,0.9852,0.9784,
510177,CSIH30094,消费红利,2,18.6429,3.3731,0.038,0.0064,0.1809,0.0455,1781020800000,low,0,,0.05,1456416000000,1781087524057,1781087524057,False,5,06-10,0.9936,0.962,1.8458
510138,SZ399997,中证白酒,3,19.3594,3.777,0.11,0.0104,0.1951,0.046,1781020800000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781087521030,1781087521030,False,5,06-10,0.9896,0.89,1.928
510142,SZ399396,国证食品,3,20.4206,3.4063,0.046,0.0012,0.1668,0.0405,1781020800000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781087521332,1781087521332,False,5,06-10,0.9988,0.954,1.7136
510154,SH000932,主要消费,3,20.8413,3.242,0.1276,0.0008,0.1556,0.0401,1781020800000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781087522273,1781087522273,False,5,06-10,0.9992,0.8724,1.308
510190,SH000989,全指可选,3,21.3028,2.1179,0.2252,0.1864,0.0994,0.0278,1781020800000,low,0,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105520916,1781105520916,False,5,06-10,0.8136,0.7748,0.7468
510171,SZ399989,中证医疗,3,25.6357,2.8786,0.0604,0.0012,0.1123,0.0172,1781020800000,low,0,,0.05,1456675200000,1781087523613,1781087523613,False,5,06-10,0.9988,0.9396,1.2257
510191,SH000991,全指医药,3,28.7469,2.6424,0.1464,0.0024,0.0919,0.0205,1781020800000,low,0,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105520998,1781105520998,False,5,06-10,0.9976,0.8536,0.967
510200,SH000978,医药100,3,29.1409,2.6917,0.2104,0.0012,0.0924,0.0204,1781020800000,low,0,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105521966,1781105521966,False,5,06-10,0.9988,0.7896,0.9716
510204,SZ399971,中证传媒,3,37.3653,2.1322,0.5744,0.1952,0.0571,0.021,1781020800000,mid,1,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105522314,1781105522314,False,5,06-10,0.8048,0.4256,0.8949
510186,SZ399986,中证银行,3,7.0804,0.6738,0.8612,0.3988,0.0952,0.0495,1781020800000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105520522,1781105520522,True,5,06-10,0.6012,0.1388,2.2449
510126,SPACEVCP,标普价值,2,7.3116,0.8053,0.6956,0.6844,0.1101,0.0426,1781020800000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1456761600000,1781087520072,1781087520072,False,5,06-10,0.3156,0.3044,1.6964
510202,CSI931157,红利成长LV,2,7.9581,0.8607,0.6186,0.5174,0.1082,0.0482,1781020800000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1781105522162,1781105522162,False,5,06-10,0.4826,0.3814,1.0219
510195,CSIH30269,红利低波,2,8.4058,0.8494,0.7756,0.5612,0.101,0.0502,1781020800000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105521437,1781105521437,False,5,06-10,0.4388,0.2244,1.9101
510185,SH000922,中证红利,2,8.5971,0.8286,0.7992,0.4452,0.0964,0.0517,1781020800000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105520431,1781105520431,False,5,06-10,0.5548,0.2008,1.4528
510208,SH000015,上证红利,2,8.822,0.8364,0.9612,0.592,0.0948,0.0499,1781020800000,high,2,,0.05,1456329600000,1781105522649,1781105522649,False,5,06-10,0.408,0.0388,1.561
510197,SH000919,300价值,2,9.0393,0.8901,0.722,0.3144,0.0985,0.0461,1781020800000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1456675200000,1781105521590,1781105521590,False,5,06-10,0.6856,0.278,1.4465
510205,CSI930740,300红利LV,2,9.0799,0.9071,0.804,0.5052,0.0999,0.0493,1781020800000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1455724800000,1781105522412,1781105522412,False,5,06-10,0.4948,0.196,1.9579
510203,CSPSADRP,标普红利,2,9.4858,0.9759,0.9728,0.6552,0.1029,0.0475,1781020800000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1456416000000,1781105522230,1781105522230,False,5,06-10,0.3448,0.0272,1.8504
510091,HSFML25,香港大盘,1,9.6171,0.9669,0.6048,0.336,0.1005,0.0293,1780934400000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1456416000000,1781055120617,1781055120617,False,5,06-09,0.664,0.3952,1.0945
