id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
503128,SZ399393,国证地产,3,0.0,0.8388,0.0,0.166,0.0,0.0112,1772640000000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706723675,1772706723675,True,5,0.834,1.0,03-05,
503102,SZ399812,养老产业,3,11.9498,1.9747,0.0004,0.1212,0.1652,0.0231,1772640000000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706721736,1772706721736,False,5,0.8788,0.9996,03-05,0.7645
503100,SZ399975,证券公司,3,15.8662,1.3728,0.098,0.2804,0.0865,0.0167,1772640000000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706721540,1772706721540,True,5,0.7196,0.902,03-05,0.5705
503121,CSIH30533,中概互联50,3,16.06,2.397,0.0084,0.0884,0.1493,0.0107,1772640000000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706723213,1772706723213,False,5,0.9116,0.9916,03-05,
503080,CSIH11136,中国互联,3,16.257,2.4081,0.0272,0.0896,0.1481,0.0113,1772553600000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1447862400000,1772674321267,1772674321267,False,5,0.9104,0.9728,03-04,
503097,SZ399997,中证白酒,3,17.7629,4.7164,0.0076,0.1184,0.2655,0.04,1772640000000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706721251,1772706721251,False,5,0.8816,0.9924,03-05,
503136,CSIH30094,消费红利,2,17.8602,4.0691,0.0088,0.1296,0.2278,0.0408,1772640000000,low,0,,0.05,1447862400000,1772706724233,1772706724233,False,5,0.8704,0.9912,03-05,13.7588
503113,SH000932,主要消费,3,18.8815,3.8907,0.0128,0.1116,0.2061,0.0364,1772640000000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706722652,1772706722652,False,5,0.8884,0.9872,03-05,4.3665
503101,SZ399396,国证食品,3,19.893,4.0463,0.0208,0.0444,0.2034,0.0373,1772640000000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706721630,1772706721630,False,5,0.9556,0.9792,03-05,7.1074
503104,SH000991,全指医药,3,30.5128,3.0072,0.2616,0.0576,0.0986,0.0169,1772640000000,low,0,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706721923,1772706721923,False,5,0.9424,0.7384,03-05,1.7712
503119,SH000978,医药100,3,30.5822,3.0636,0.2948,0.0632,0.1002,0.0165,1772640000000,low,0,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706723061,1772706723061,False,5,0.9368,0.7052,03-05,1.8643
503130,SZ399989,中证医疗,3,31.4151,3.3506,0.2468,0.054,0.1067,0.0152,1772640000000,low,0,,0.05,1447948800000,1772706723865,1772706723865,False,5,0.946,0.7532,03-05,1.5359
503107,SZ399550,央视50,2,9.6983,1.0148,0.6916,0.1912,0.1046,0.0434,1772640000000,mid,1,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1447862400000,1772706722166,1772706722166,False,5,0.8088,0.3084,03-05,2.1059
503137,HKHSTECH,恒生科技,3,19.8548,2.6115,0.0736,0.3797,0.1315,0.0117,1772640000000,mid,1,,0.05,1595779200000,1772706724311,1772706724311,False,5,0.6203,0.9264,03-05,
503115,SZ399701,基本面60,2,21.2905,2.0347,0.6972,0.2548,0.0956,0.0262,1772640000000,mid,1,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706722792,1772706722792,False,5,0.7452,0.3028,03-05,1.0836
503084,HKHSSCNE,新经济,2,21.5877,2.9721,0.2703,0.5552,0.1377,0.0111,1772553600000,mid,1,,0.05,1542729600000,1772674321907,1772674321907,False,5,0.4448,0.7297,03-04,
503103,SH000989,全指可选,3,21.9421,2.3947,0.2588,0.324,0.1091,0.0254,1772640000000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1447948800000,1772706721828,1772706721828,False,5,0.676,0.7412,03-05,1.2811
