id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pb_over_history,pe_over_history
458463,SZ399986,中证银行,3,4.7553,0.5571,0.1481,0.081,0.1172,0.058,1692028800000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1692094658639,1692094658639,0.6498,True,08-15,0.919,0.8519
458491,SPACEVCP,标普价值,2,5.2758,0.5335,0.074,0.0652,0.1011,0.0577,1692028800000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,1.2241,False,08-15,0.9348,0.926
458487,CSPSADRP,标普红利,2,5.3403,0.6987,0.072,0.1836,0.1308,0.0698,1692028800000,low,0,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1368115200000,1692094658639,1692094658639,1.3035,False,08-15,0.8164,0.928
458513,SH000015,上证红利,2,5.3535,0.6295,0.1292,0.1252,0.1176,0.066,1692028800000,low,0,,0.05,1368028800000,1692094658639,1692094658639,0.9352,False,08-15,0.8748,0.8708
458486,CSIH30269,红利低波,2,5.5641,0.6554,0.2381,0.1633,0.1178,0.0619,1692028800000,low,0,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1692094658639,1692094658639,0.8568,False,08-15,0.8367,0.7619
458462,SH000922,中证红利,2,5.8155,0.6664,0.0936,0.0752,0.1146,0.0594,1692028800000,low,0,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.8045,False,08-15,0.9248,0.9064
458503,CSI931157,红利成长LV,2,7.1072,0.8295,0.16,0.118,0.1167,0.0402,1692028800000,low,0,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1368115200000,1692094658639,1692094658639,0.8692,False,08-15,0.882,0.84
458493,SH000919,300价值,2,7.2749,0.8378,0.2852,0.1224,0.1152,0.0496,1692028800000,low,0,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.9128,False,08-15,0.8776,0.7148
458475,HKHSCEI,国企指数,1,7.5162,0.7905,0.2156,0.0448,0.1052,0.0334,1692028800000,low,0,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,1.3055,False,08-15,0.9552,0.7844
458482,HSFML25,香港大盘,1,7.5577,0.845,0.0732,0.0184,0.1118,0.0376,1692028800000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.8601,False,08-15,0.9816,0.9268
458478,SH000925,基本面50,2,7.717,0.91,0.2408,0.1132,0.1179,0.0479,1692028800000,low,0,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,1.0384,False,08-15,0.8868,0.7592
458479,SZ399550,央视50,2,8.0351,1.0034,0.2408,0.0424,0.1249,0.0424,1692028800000,low,0,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1368115200000,1692094658639,1692094658639,0.8591,False,08-15,0.9576,0.7592
458458,SH000170,50AH优选,1,8.6431,1.0651,0.162,0.3107,0.1232,0.0352,1692028800000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1692094658639,1692094658639,1.0995,False,08-15,0.6893,0.838
458474,HKHSI,恒生指数,1,8.6888,0.9011,0.0612,0.0396,0.1037,0.0388,1692028800000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,1.194,False,08-15,0.9604,0.9388
458496,SH000010,上证180,1,9.7719,1.164,0.2716,0.15,0.1191,0.0357,1692028800000,low,0,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.9023,False,08-15,0.85,0.7284
458456,SH000300,沪深300,1,11.6709,1.3621,0.2888,0.2104,0.1167,0.0297,1692028800000,low,0,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.7328,False,08-15,0.7896,0.7112
458508,SZ399393,国证地产,3,12.1787,0.9342,0.5392,0.0652,0.0767,0.027,1692028800000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.8019,True,08-15,0.9348,0.4608
458504,GDAXI,德国DAX,1,12.7261,1.5545,0.0675,0.2071,0.1222,0.0333,1692028800000,low,0,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1388592000000,1692094658639,1692094658639,,False,08-15,0.7929,0.9325
458464,SH000827,中证环保,3,17.8767,2.8346,0.0056,0.428,0.1586,0.0176,1692028800000,low,0,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.6074,False,08-15,0.572,0.9944
458470,SZ399812,养老产业,3,19.5419,2.1263,0.1365,0.0232,0.1088,0.0195,1692028800000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1401984000000,1692094658639,1692094658639,0.5866,False,08-15,0.9768,0.8635
458466,SZ399998,中证煤炭,3,5.8158,1.3017,0.001,0.5627,0.2238,0.0972,1692028800000,mid,1,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1423756800000,1692094658639,1692094658639,,True,08-15,0.4373,0.999
458509,CSI930740,300红利LV,2,7.2033,0.8058,0.3716,0.1692,0.1119,0.0467,1692028800000,mid,1,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1367424000000,1692094658639,1692094658639,0.9066,False,08-15,0.8308,0.6284
458455,SH000016,上证50,1,9.78,1.2621,0.4308,0.5496,0.129,0.0403,1692028800000,mid,1,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,1.2384,False,08-15,0.4504,0.5692
458511,CSI716567,MSCI中国,1,12.2826,1.4152,0.3694,0.2931,0.1152,0.0279,1692028800000,mid,1,,0.05,1508688000000,1692094658639,1692094658639,0.6518,False,08-15,0.7069,0.6306
458488,SPHCMSHP,香港中小,1,12.3046,0.8688,0.3524,0.0509,0.0706,0.0452,1692028800000,mid,1,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1692094658639,1692094658639,,False,08-15,0.9491,0.6476
458481,SH000903,中证100,1,12.7187,1.6961,0.7612,0.874,0.1334,0.0316,1692028800000,mid,1,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,1.0936,False,08-15,0.126,0.2388
458502,CSI931142,东证竞争,2,12.7617,1.8232,0.4236,0.2156,0.1429,0.0317,1692028800000,mid,1,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.8228,False,08-15,0.7844,0.5764
458501,SPCQVCP,标普质量,2,15.0182,2.6663,0.388,0.36,0.1694,0.02,1692028800000,mid,1,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,1.7524,False,08-15,0.64,0.612
458490,SZ399317,国证A指,1,16.626,1.6059,0.3892,0.2052,0.0966,0.0215,1692028800000,mid,1,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.7157,False,08-15,0.7948,0.6108
458484,SZ399324,深证红利,2,18.2062,1.7283,0.8152,0.0684,0.0949,0.0294,1692028800000,mid,1,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.6512,False,08-15,0.9316,0.1848
458485,CSI930782,500低波,2,18.6572,1.3478,0.4222,0.1808,0.0722,0.0232,1692028800000,mid,1,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1692094658639,1692094658639,0.8908,False,08-15,0.8192,0.5778
458495,SZ399702,基本面120,2,20.2762,2.1001,0.5016,0.3048,0.1036,0.0204,1692028800000,mid,1,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1368374400000,1692094658639,1692094658639,0.5976,False,08-15,0.6952,0.4984
