id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
479838,SZ399393,国证地产,3,0.0,0.8511,0.0,0.1152,0.0,0.0174,1733241600000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1408896000000,1733306302612,1733306302612,0.8511,True,0.8848,1.0,12-04
479812,HSFML25,香港大盘,1,7.9845,0.8264,0.2352,0.1088,0.1035,0.0372,1733241600000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1408896000000,1733306302612,1733306302612,0.9087,False,0.8912,0.7648,12-04
479789,SH000170,50AH优选,1,8.4708,0.9268,0.1263,0.0659,0.1094,0.0401,1733241600000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1733306302612,1733306302612,3.0005,False,0.9341,0.8737,12-04
479805,HKHSI,恒生指数,1,8.9725,0.9287,0.1844,0.1884,0.1035,0.0407,1733241600000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1408896000000,1733306302612,1733306302612,1.233,False,0.8116,0.8156,12-04
479801,SZ399812,养老产业,3,14.5906,2.0439,0.0032,0.106,0.1401,0.0237,1733241600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1408896000000,1733306302612,1733306302612,0.451,False,0.894,0.9968,12-04
479813,CSIH11136,中国互联,3,17.0894,2.5056,0.0344,0.1304,0.1466,0.0127,1733241600000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1408896000000,1733306302612,1733306302612,,False,0.8696,0.9656,12-04
479830,CSIH30533,中概互联50,3,17.6837,2.563,0.0401,0.1767,0.1449,0.0119,1733241600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1733306302612,1733306302612,,False,0.8233,0.9599,12-04
479796,SZ399997,中证白酒,3,20.3532,5.6417,0.1354,0.2899,0.2772,0.032,1733241600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1733306302612,1733306302612,1.7288,False,0.7101,0.8646,12-04
479800,SZ399396,国证食品,3,21.8082,4.7576,0.0768,0.298,0.2182,0.03,1733241600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1408896000000,1733306302612,1733306302612,2.0007,False,0.702,0.9232,12-04
479837,SZ399971,中证传媒,3,30.2093,2.1852,0.2512,0.2096,0.0723,0.022,1733241600000,low,0,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1408896000000,1733306302612,1733306302612,7.2643,False,0.7904,0.7488,12-04
479840,SZ399989,中证医疗,3,32.3883,3.607,0.2361,0.0484,0.1114,0.0158,1733241600000,low,0,,0.05,1414684800000,1733306302612,1733306302612,2.0387,False,0.9516,0.7639,12-04
479792,SZ399006,创业板,1,34.1841,4.1003,0.1888,0.1836,0.1199,0.0122,1733241600000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1408896000000,1733306302612,1733306302612,1.1468,False,0.8164,0.8112,12-04
