id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,date,pb_over_history,pe_over_history
507730,HSFML25,香港大盘,1,10.2176,1.0265,0.7728,0.5276,0.1005,0.0262,1778083200000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778203920953,1778203920953,1.1628,False,5,05-07,0.4724,0.2272
507762,SH000925,基本面50,2,10.2474,0.9836,0.8492,0.3528,0.096,0.0379,1778169600000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236321994,1778236321994,1.1827,False,5,05-08,0.6472,0.1508
507746,SH000170,50AH优选,1,10.359,1.1888,0.7428,0.7308,0.1148,0.0313,1778169600000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236320634,1778236320634,1.8204,False,5,05-08,0.2692,0.2572
507728,HKHSCEI,国企指数,1,10.5602,1.0271,0.864,0.6824,0.0973,0.0258,1778083200000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778203920771,1778203920771,1.8343,False,5,05-07,0.3176,0.136
507743,SH000016,上证50,1,11.5475,1.2132,0.806,0.4084,0.1051,0.0317,1778169600000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236320357,1778236320357,1.6091,False,5,05-08,0.5916,0.194
507773,SH000010,上证180,1,12.2483,1.2192,0.8396,0.3904,0.0995,0.0288,1778169600000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236322923,1778236322923,1.2641,False,5,05-08,0.6096,0.1604
507726,HKHSI,恒生指数,1,12.659,1.26,0.864,0.8852,0.0995,0.029,1778083200000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778203920590,1778203920590,1.7396,False,5,05-07,0.1148,0.136
507744,SH000300,沪深300,1,14.7058,1.4608,0.9264,0.51,0.0993,0.0252,1778169600000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236320447,1778236320447,0.9841,False,5,05-08,0.49,0.0736
507787,CSI716567,MSCI中国,1,15.3683,1.5133,0.8809,0.636,0.0985,0.0237,1778169600000,high,2,,0.05,1508688000000,1778236324230,1778236324230,0.892,False,5,05-08,0.364,0.1191
507742,SPCQVCP,标普质量,2,15.6419,2.777,0.4148,0.3848,0.1775,0.0208,1778169600000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236320256,1778236320256,1.8252,False,5,05-08,0.6152,0.5852
507765,SZ399324,深证红利,2,16.8061,2.3538,0.7336,0.6508,0.1401,0.0425,1778169600000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236322219,1778236322219,0.7447,False,5,05-08,0.3492,0.2664
507795,GDAXI,德国DAX,1,17.6844,1.5947,0.4996,0.4044,0.0902,0.0011,1778169600000,high,2,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778236324858,1778236324858,,False,5,05-08,0.5956,0.5004
507778,CSI931142,东证竞争,2,18.4749,3.095,0.9484,0.922,0.1675,0.0234,1778169600000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236323500,1778236323500,0.8396,False,5,05-08,0.078,0.0516
507764,SH000903,中证100,1,18.4775,1.8599,0.9988,0.9564,0.1007,0.0258,1778169600000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236322143,1778236322143,0.9222,False,5,05-08,0.0436,0.0012
507754,SZ399998,中证煤炭,3,21.6194,1.727,0.872,0.942,0.0799,0.0478,1778169600000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1449763200000,1778236321315,1778236321315,0.8937,True,5,05-08,0.058,0.128
507766,CSI930782,500低波,2,21.8767,1.7679,0.6505,0.7457,0.0808,0.0215,1778169600000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1778236322293,1778236322293,0.8624,False,5,05-08,0.2543,0.3495
507793,HKHSTECH,恒生科技,3,22.9217,2.6454,0.3212,0.4011,0.1154,0.0112,1778169600000,high,2,,0.05,1595779200000,1778236324706,1778236324706,,False,5,05-08,0.5989,0.6788
507734,SPHCMSHP,香港中小,1,22.9391,1.5494,0.992,0.8004,0.0675,0.0213,1778083200000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1778203921846,1778203921846,,False,5,05-07,0.1996,0.008
507768,SZ399317,国证A指,1,23.7297,1.909,0.9996,0.7088,0.0804,0.0169,1778169600000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236322444,1778236322444,0.9948,False,5,05-08,0.2912,0.0004
507738,HKHSSCNE,新经济,2,25.6945,3.0113,0.622,0.57,0.1172,0.0106,1778083200000,high,2,,0.05,1542729600000,1778203922550,1778203922550,,False,5,05-07,0.43,0.378
507772,SZ399702,基本面120,2,27.0361,2.2124,0.9916,0.5528,0.0818,0.0231,1778169600000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236322847,1778236322847,0.4712,False,5,05-08,0.4472,0.0084
507771,SZ399701,基本面60,2,27.8375,2.1047,0.9964,0.4076,0.0756,0.0258,1778169600000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236322753,1778236322753,0.4638,False,5,05-08,0.5924,0.0036
