id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
483245,SZ399393,国证地产,3,0.0,0.779,0.0,0.0952,0.0,0.0196,1740499200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1416153600000,1740563822517,1740563822517,0.779,True,0.9048,1.0,02-26
483208,SZ399812,养老产业,3,13.9343,1.9761,0.012,0.1032,0.1418,0.025,1740499200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1416153600000,1740563822502,1740563822502,0.431,False,0.8968,0.988,02-26
483207,SZ399396,国证食品,3,20.4462,4.6982,0.0344,0.2692,0.2298,0.0377,1740499200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1416153600000,1740563822502,1740563822502,1.9261,False,0.7308,0.9656,02-26
483247,SZ399989,中证医疗,3,32.9623,3.6733,0.2676,0.0756,0.1114,0.0159,1740499200000,low,0,,0.05,1416153600000,1740563822518,1740563822518,2.3415,False,0.9244,0.7324,02-26
483199,SZ399006,创业板,1,34.9562,4.3437,0.212,0.258,0.1243,0.0123,1740499200000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1416153600000,1740563822498,1740563822498,1.242,False,0.742,0.788,02-26
483200,SH000922,中证红利,2,7.2034,0.7516,0.3568,0.2784,0.1043,0.0639,1740499200000,mid,1,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1416153600000,1740563822498,1740563822498,2.7626,False,0.7216,0.6432,02-26
483216,SH000925,基本面50,2,8.8553,0.9549,0.4428,0.28,0.1078,0.05,1740499200000,mid,1,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1416153600000,1740563822505,1740563822505,1.5935,False,0.72,0.5572,02-26
483217,SZ399550,央视50,2,9.3001,1.03,0.5996,0.2132,0.1108,0.0459,1740499200000,mid,1,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1415894400000,1740563822506,1740563822506,2.2183,False,0.7868,0.4004,02-26
483233,SH000010,上证180,1,11.007,1.182,0.5456,0.2788,0.1074,0.0381,1740499200000,mid,1,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1416153600000,1740563822513,1740563822513,1.5415,False,0.7212,0.4544,02-26
483194,SH000300,沪深300,1,12.6946,1.3655,0.5512,0.254,0.1076,0.0337,1740499200000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1416153600000,1740563822495,1740563822495,1.4711,False,0.746,0.4488,02-26
