id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,pb_over_history,pe_over_history,date,peg
486211,SZ399393,国证地产,3,0.0,0.8034,0.0,0.126,0.0,0.0203,1746547200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482871,1746611482871,True,0.874,1.0,05-07,
486187,SZ399324,深证红利,2,13.2625,1.9314,0.1064,0.2352,0.1456,0.0433,1746547200000,low,0,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482865,1746611482865,False,0.7648,0.8936,05-07,1.2469
486174,SZ399812,养老产业,3,13.8609,1.9343,0.0272,0.1012,0.1396,0.0247,1746547200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482861,1746611482861,False,0.8988,0.9728,05-07,1.9048
486186,CSIH11136,中国互联,3,17.5249,2.8623,0.0624,0.2712,0.1633,0.0091,1746547200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482864,1746611482864,False,0.7288,0.9376,05-07,
486172,SZ399975,证券公司,3,18.9175,1.3471,0.2336,0.2356,0.0712,0.016,1746547200000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482860,1746611482860,True,0.7644,0.7664,05-07,1.3536
486169,SZ399997,中证白酒,3,19.6994,5.0673,0.1096,0.2272,0.2572,0.0405,1746547200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482860,1746611482860,False,0.7728,0.8904,05-07,2.1767
486195,SH000932,主要消费,3,19.8955,4.2612,0.0048,0.224,0.2142,0.0341,1746547200000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482867,1746611482867,False,0.776,0.9952,05-07,1.8233
486220,CSIH30094,消费红利,2,20.2948,4.3492,0.09,0.2404,0.2143,0.0397,1746547200000,low,0,,0.05,1421769600000,1746611482874,1746611482874,False,0.7596,0.91,05-07,1.8807
486175,SH000989,全指可选,3,20.7389,2.3475,0.186,0.2988,0.1132,0.023,1746547200000,low,0,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482861,1746611482861,False,0.7012,0.814,05-07,0.7494
486163,SZ399330,深证100,1,20.7885,2.2591,0.2624,0.0704,0.1087,0.0258,1746547200000,low,0,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482858,1746611482858,False,0.9296,0.7376,05-07,0.6603
486173,SZ399396,国证食品,3,22.0431,4.3916,0.0908,0.1428,0.1992,0.0361,1746547200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482861,1746611482861,False,0.8572,0.9092,05-07,1.9846
486217,CSI931079,5G通讯,3,25.43,2.9638,0.1103,0.1638,0.1165,0.0141,1746547200000,low,0,,0.05,1556553600000,1746611482873,1746611482873,False,0.8362,0.8897,05-07,0.6577
486165,SZ399006,创业板,1,29.9448,3.6832,0.1352,0.126,0.123,0.0137,1746547200000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1421856000000,1746611482858,1746611482858,False,0.874,0.8648,05-07,0.7609
486213,SZ399989,中证医疗,3,30.2003,3.1598,0.182,0.0128,0.1046,0.0181,1746547200000,low,0,,0.05,1421856000000,1746611482872,1746611482872,False,0.9872,0.818,05-07,0.9967
