id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,pb_over_history,pe_over_history,date,peg
486286,SH000300,沪深300,1,12.439,1.2988,0.4932,0.128,0.1044,0.0353,1746720000000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158513,1746785158513,False,0.872,0.5068,05-09,1.315
486340,CSI716567,MSCI中国,1,12.7299,1.3103,0.5668,0.168,0.1029,0.0342,1746720000000,mid,1,,0.05,1508688000000,1746785158528,1746785158528,False,0.832,0.4332,05-09,1.161
486319,SZ399317,国证A指,1,18.4249,1.5302,0.5968,0.1656,0.0831,0.0253,1746720000000,mid,1,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158522,1746785158522,False,0.8344,0.4032,05-09,1.14
486323,SZ399701,基本面60,2,19.591,1.8917,0.5344,0.108,0.0966,0.0309,1746720000000,mid,1,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158523,1746785158523,False,0.892,0.4656,05-09,0.6183
486324,SZ399702,基本面120,2,20.5192,1.8419,0.5036,0.1164,0.0898,0.0292,1746720000000,mid,1,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158523,1746785158523,False,0.8836,0.4964,05-09,0.5996
486301,SH000989,全指可选,3,20.8078,2.3599,0.19,0.3032,0.1134,0.0237,1746720000000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158517,1746785158517,False,0.6968,0.81,05-09,0.756
486326,SZ399001,深证成指,1,24.9655,2.1169,0.3716,0.1144,0.0848,0.0216,1746720000000,mid,1,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158524,1746785158524,False,0.8856,0.6284,05-09,0.6367
486287,SH000905,中证500,1,28.8046,1.7737,0.6448,0.2776,0.0616,0.0184,1746720000000,mid,1,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158513,1746785158513,False,0.7224,0.3552,05-09,0.7398
486294,SH000827,中证环保,3,31.7565,2.126,0.6524,0.1084,0.0669,0.0234,1746720000000,mid,1,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158515,1746785158515,False,0.8916,0.3476,05-09,0.4436
486327,SH000978,医药100,3,32.5667,3.0295,0.3712,0.05,0.093,0.0198,1746720000000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158524,1746785158524,False,0.95,0.6288,05-09,1.1535
486302,SH000991,全指医药,3,33.0323,3.0299,0.3712,0.0656,0.0917,0.0195,1746720000000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158517,1746785158517,False,0.9344,0.6288,05-09,1.1518
486336,SZ399971,中证传媒,3,36.251,2.1646,0.522,0.2132,0.0597,0.0225,1746720000000,mid,1,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158527,1746785158527,False,0.7868,0.478,05-09,0.7359
486290,SH000852,中证1000,1,40.5762,2.0495,0.5944,0.15,0.0505,0.0148,1746720000000,mid,1,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158514,1746785158514,False,0.85,0.4056,05-09,0.7956
486334,CSI931087,科技龙头,3,41.2582,4.177,0.6174,0.2221,0.1012,0.0102,1746720000000,mid,1,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1746785158526,1746785158526,False,0.7779,0.3826,05-09,1.0368
486320,SPACEVCP,标普价值,2,6.5113,0.6584,0.5436,0.4996,0.1011,0.0467,1746720000000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158522,1746785158522,False,0.5004,0.4564,05-09,1.5107
486293,SZ399986,中证银行,3,6.6166,0.6698,0.74,0.3524,0.1012,0.0651,1746720000000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158515,1746785158515,True,0.6476,0.26,05-09,2.9091
486316,CSPSADRP,标普红利,2,7.2425,0.7606,0.61,0.372,0.105,0.0653,1746720000000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746785158521,1746785158521,False,0.628,0.39,05-09,3.4085
486342,SH000015,上证红利,2,7.3159,0.7333,0.564,0.3892,0.1002,0.0679,1746720000000,high,2,,0.05,1421856000000,1746785158529,1746785158529,False,0.6108,0.436,05-09,6.0205
486332,CSI931157,红利成长LV,2,7.6697,0.7616,0.6305,0.3552,0.0993,0.0649,1746720000000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1746785158526,1746785158526,True,0.6448,0.3695,05-09,1.7903
486315,CSIH30269,红利低波,2,7.7062,0.7983,0.7164,0.4792,0.1036,0.0645,1746720000000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158521,1746785158521,False,0.5208,0.2836,05-09,2.846
486322,SH000919,300价值,2,8.5915,0.8934,0.5916,0.3144,0.104,0.0524,1746720000000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158523,1746785158523,False,0.6856,0.4084,05-09,2.4379
486338,CSI930740,300红利LV,2,8.8304,0.8837,0.77,0.4312,0.1001,0.0553,1746720000000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1421251200000,1746785158527,1746785158527,False,0.5688,0.23,05-09,2.4037
486305,HKHSCEI,国企指数,1,9.4118,0.9742,0.7704,0.5948,0.1035,0.0373,1746720000000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158518,1746785158518,False,0.4052,0.2296,05-09,1.6347
486311,HSFML25,香港大盘,1,9.5087,0.9727,0.6572,0.3624,0.1023,0.0378,1746720000000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158520,1746785158520,False,0.6376,0.3428,05-09,1.0822
486309,SZ399550,央视50,2,9.9042,1.0358,0.7784,0.234,0.1046,0.0471,1746720000000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746785158519,1746785158519,False,0.766,0.2216,05-09,1.6588
486304,HKHSI,恒生指数,1,10.247,1.0639,0.5552,0.4876,0.1038,0.0401,1746720000000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158518,1746785158518,False,0.5124,0.4448,05-09,1.4081
486296,SZ399998,中证煤炭,3,12.7331,1.3592,0.6596,0.5706,0.1067,0.0664,1746720000000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1423756800000,1746785158516,1746785158516,True,0.4294,0.3404,05-09,
486331,CSI931142,东证竞争,2,14.2765,2.0276,0.618,0.4388,0.142,0.034,1746720000000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158525,1746785158525,False,0.5612,0.382,05-09,1.3413
486310,SH000903,中证100,1,14.7892,1.5495,0.9448,0.6688,0.1048,0.0325,1746720000000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158520,1746785158520,False,0.3312,0.0552,05-09,1.2628
486330,SPCQVCP,标普质量,2,15.6419,2.777,0.44,0.3848,0.1775,0.0208,1746720000000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158525,1746785158525,False,0.6152,0.56,05-09,1.8252
486317,SPHCMSHP,香港中小,1,15.8045,1.0934,0.7795,0.3441,0.0692,0.037,1746720000000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1746785158521,1746785158521,False,0.6559,0.2205,05-09,
486333,GDAXI,德国DAX,1,17.9106,1.9621,0.5312,0.9732,0.1095,0.0246,1746720000000,high,2,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746785158526,1746785158526,False,0.0268,0.4688,05-09,
486314,CSI930782,500低波,2,21.2899,1.4196,0.6201,0.419,0.0667,0.0231,1746720000000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1746785158521,1746785158521,False,0.581,0.3799,05-09,0.9602
486345,HKHSSCNE,新经济,2,23.5483,3.3164,0.4563,0.7837,0.1408,0.0082,1746720000000,high,2,,0.05,1542729600000,1746785158545,1746785158545,False,0.2163,0.5437,05-09,
486306,SP500,标普500,1,25.3186,4.73,0.7132,0.8984,0.1868,0.0132,1746720000000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1421251200000,1746785158518,1746785158518,False,0.1016,0.2868,05-09,1.6648
486328,SZ399417,新能源车,3,26.7529,3.3238,0.382,0.4356,0.1242,0.0166,1746720000000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158524,1746785158524,True,0.5644,0.618,05-09,0.5477
486307,NDX,纳指100,1,30.918,8.2347,0.6276,0.7432,0.2663,0.0063,1746720000000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1421942400000,1746785158519,1746785158519,False,0.2568,0.3724,05-09,1.5345
486318,935600,MSCI印度,1,39.4183,5.3131,0.9352,0.9352,0.1348,0.0097,1746720000000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1456761600000,1746785158522,1746785158522,False,0.0648,0.0648,05-09,
486341,CSI930652,中证电子,3,44.5317,3.5776,0.597,0.4797,0.0803,0.0093,1746720000000,high,2,,0.05,1433433600000,1746785158528,1746785158528,False,0.5203,0.403,05-09,0.7732
486303,SH000993,全指信息,3,54.1057,3.7331,0.526,0.3584,0.069,0.0082,1746720000000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158518,1746785158518,False,0.6416,0.474,05-09,0.7794
486297,SZ399967,中证军工,3,97.3579,3.1234,0.746,0.454,0.0321,0.0061,1746720000000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158516,1746785158516,True,0.546,0.254,05-09,0.8683
486344,SH000688,科创50,1,142.3924,4.5661,0.9961,0.3866,0.0321,0.0066,1746720000000,high,2,,0.05,1577721600000,1746785158545,1746785158545,False,0.6134,0.0039,05-09,1.0008
486347,HKHSTECH,恒生科技,3,21.6895,2.9662,0.1793,0.619,0.1368,0.0084,1746720000000,unsort,99,,0.05,1595779200000,1746785158546,1746785158546,False,0.381,0.8207,05-09,
