id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
489145,SZ399393,国证地产,3,0.0,0.8012,0.0,0.1336,0.0,0.022,1749657600000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724324113,1749724324113,True,5,0.8664,1.0,06-12,
489125,SZ399324,深证红利,2,13.1444,1.9657,0.0928,0.2764,0.1495,0.0456,1749657600000,low,0,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724322491,1749724322491,False,5,0.7236,0.9072,06-12,1.2851
489117,SZ399812,养老产业,3,14.8437,2.081,0.0552,0.1684,0.1402,0.0227,1749657600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724321863,1749724321863,False,5,0.8316,0.9448,06-12,2.1676
489124,CSIH11136,中国互联,3,16.5996,2.7605,0.0336,0.2484,0.1663,0.0136,1749657600000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724322422,1749724322422,False,5,0.7516,0.9664,06-12,
489138,CSIH30533,中概互联50,3,17.6516,2.8963,0.0548,0.2776,0.1641,0.0123,1749657600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724323610,1749724323610,False,5,0.7224,0.9452,06-12,
489112,SZ399997,中证白酒,3,18.2537,4.709,0.0288,0.1784,0.258,0.0437,1749657600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724321470,1749724321470,False,5,0.8216,0.9712,06-12,2.1372
489130,SH000932,主要消费,3,19.2684,4.1992,0.002,0.2004,0.2179,0.0365,1749657600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724322943,1749724322943,False,5,0.7996,0.998,06-12,1.8467
489154,CSIH30094,消费红利,2,19.3672,4.2262,0.038,0.2088,0.2182,0.0415,1749657600000,low,0,,0.05,1425398400000,1749724324730,1749724324730,False,5,0.7912,0.962,06-12,1.8537
489115,SZ399975,证券公司,3,19.5199,1.3915,0.2864,0.2992,0.0713,0.0158,1749657600000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724321703,1749724321703,True,5,0.7008,0.7136,06-12,1.3549
489116,SZ399396,国证食品,3,21.1075,4.2799,0.0452,0.0992,0.2028,0.0384,1749657600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1425484800000,1749724321792,1749724321792,False,5,0.9008,0.9548,06-12,1.9867
